coreid,compositedepth,TOC_mg_g,Weighted_mean_SR,Weighted_mean_age,Mean_OCAR,Min_OCAR,Max_OCAR
BN2016-1,12.0,51.3,0.09466559064835878,261.0,18.783502100677236,3.1789313732862152,110.39344535021517
BN2016-1,14.0,52.7,0.09985340966055573,303.4,20.31849283293784,3.213262739706158,124.6076786553937
BN2016-1,19.0,30.0,0.08396633374230503,422.0,10.692229849645948,1.4127236977204907,69.92113235510357
BN2016-1,22.0,50.5,0.08126694201064699,493.80000000000007,16.10714654604804,2.444212394866855,112.65611501033771
BN2016-1,24.0,44.3,0.08233431184130738,540.0,14.724343437727422,2.470582165607855,100.16274135864742
BN2016-1,26.0,38.2,0.08868673589839009,585.6,14.041051777276015,1.9374888044350353,87.11001180643743
BN2016-1,29.0,61.6,0.08734219568589685,654.8000000000002,20.404797712423886,2.6127181590740602,131.66036158897919
BN2016-1,31.0,36.1,0.08184818716408042,702.0,12.440741821157388,1.0028602285041248,87.62044859074805
BN2016-1,34.0,38.4,0.13389125554166792,765.4000000000002,21.446520213654882,2.5378892096991583,115.23057164500118
BN2016-1,36.0,44.3,0.1429260031940697,797.2,25.861976849399046,2.858550376733037,133.30358584088916
BN2016-1,38.0,48.2,0.14483446893769356,827.2,28.217770766633123,3.093285671918352,140.22591807160947
BN2016-1,41.0,44.5,0.1533558125659649,870.8000000000002,28.074798888104432,2.9497870760495846,134.0498967849108
BN2016-1,43.0,36.9,0.15472422607294914,899.4000000000002,24.258159717536792,2.5548701181429068,120.75732240768886
BN2016-1,46.0,41.1,0.15432165316902235,941.8,26.574826536782634,2.798971411395083,141.29387971556653
BN2016-1,48.0,61.7,0.15617293051394854,969.8,37.33333388010864,3.8051081394616646,204.22000094780682
BN2016-1,50.0,48.9,0.15717752432988796,998.4,31.374313110116603,3.232725609801491,160.6688391770934
BN2016-1,53.0,39.3,0.15408179365058014,1040.4,25.770106552500543,2.713204725260986,135.5596047468551
BN2016-1,55.0,51.4,0.15171061752183973,1069.0,31.722254032278865,3.4782995873416787,151.1809781754068
BN2016-1,58.0,60.7,0.15518822693277448,1111.8000000000004,37.08858854831978,3.7772392909445114,171.81282551951864
BN2016-1,60.0,36.4,0.14467419140050986,1141.2,22.90084616742894,2.573325880663127,115.67829284940306
BN2016-1,62.0,43.2,0.139672554320215,1171.2,25.560589510956063,3.0112782436951675,127.16573367804637
BN2016-1,65.0,47.4,0.11225046085874203,1217.8000000000004,22.230498369931926,1.6418004380349194,118.74585821077387
BN2016-1,70.0,52.6,0.08718379796101929,1323.2,18.88320567337899,2.7736897557970104,121.57195567792273
BN2016-1,72.0,47.9,0.0819755172034001,1365.4,16.523478395456635,2.8837546572943484,111.5880505875826
BN2016-1,74.0,34.9,0.0855708225845778,1407.0,13.224957513617452,2.2324287629348647,88.28054763524706
BN2016-1,77.0,49.9,0.08506850281287895,1469.8,17.83577997672685,3.120996072338157,115.63833001703954
BN2016-1,79.0,36.6,0.08172964932597744,1511.6,13.281138310804025,2.390959155844099,89.31290869768338
