CompositeDepth,TOC_mg_g,DBD_min,DBD_max,DBD_mean,CoreID
12.0,51.3,0.34182720752842966,0.4840329384531784,0.39332069487124494,BN2016-1
14.0,52.7,0.34163480324618045,0.4738776150217808,0.3921014793445403,BN2016-1
19.0,30.0,0.3762938248326407,0.5413342487360021,0.43263545740152687,BN2016-1
22.0,50.5,0.347586318421656,0.4875253298020952,0.39951449753632007,BN2016-1
24.0,44.3,0.35717714184114774,0.5008073030192326,0.41016771271561286,BN2016-1
26.0,38.2,0.36609011299014454,0.5201093384556043,0.4219698271703418,BN2016-1
29.0,61.6,0.3350309467113497,0.4747327655576463,0.385753613723859,BN2016-1
31.0,36.1,0.3717617250243092,0.5241351593275354,0.4278650002009041,BN2016-1
34.0,38.4,0.3688880076805144,0.5306319257237957,0.4255764597238031,BN2016-1
36.0,44.3,0.3613679211718896,0.5128547084156373,0.41670972346222523,BN2016-1
38.0,48.2,0.35720601627572274,0.5049108583399008,0.41122594961755177,BN2016-1
41.0,44.5,0.36350767105134035,0.503786411136,0.418112935622218,BN2016-1
43.0,36.9,0.3762065563529557,0.5317270998555959,0.4324998009462684,BN2016-1
46.0,41.1,0.3706440833637043,0.520290023023694,0.42705938493578144,BN2016-1
48.0,61.7,0.3420027873325484,0.4704659315675358,0.39417638548467737,BN2016-1
50.0,48.9,0.36013949016983005,0.5145710433965025,0.41647109312746644,BN2016-1
53.0,39.3,0.37671108089698085,0.5374821455365626,0.4340733000835548,BN2016-1
55.0,51.4,0.3597128241375161,0.49554680073825674,0.4134587423438872,BN2016-1
58.0,60.7,0.347581813888698,0.4913631397490326,0.4003901472680016,BN2016-1
60.0,36.4,0.38295832128957885,0.5457963854166833,0.4425817416562921,BN2016-1
62.0,43.2,0.3740143336339897,0.5103299753014601,0.43135427435058493,BN2016-1
65.0,47.4,0.36965984823554915,0.5245840290034182,0.42623907317632154,BN2016-1
70.0,52.6,0.36461116172169383,0.5192100918649463,0.4196766809069972,BN2016-1
72.0,47.9,0.3734091649046703,0.5238892372526768,0.42806629722638817,BN2016-1
74.0,34.9,0.3945471006932283,0.5629741922443519,0.4520798296740105,BN2016-1
77.0,49.9,0.3712650835319693,0.516781049229486,0.4267780241127833,BN2016-1
79.0,36.6,0.3936497537124671,0.5640525754372755,0.45154675429975266,BN2016-1
82.0,33.4,0.3984719624436001,0.5548027547882073,0.4591426194927122,BN2016-1
84.0,34.6,0.3987087252751126,0.5627780279643959,0.4583105848234086,BN2016-1
86.0,47.9,0.37872999002445606,0.5431751236214699,0.4358853236913431,BN2016-1
89.0,36.6,0.3985383004172952,0.5587071130199073,0.4567713395687433,BN2016-1
91.0,35.5,0.3992461709910367,0.5499700858148648,0.460581920406117,BN2016-1
94.0,46.3,0.3854198613337865,0.5351485342985542,0.4419340799709394,BN2016-1
96.0,39.7,0.39474549094192396,0.55418256281105,0.4548137298046457,BN2016-1
