CoreID,CompositeDepth,TOC_percent,TOC_mg_g
LS-9,20.5,8.18,81.8
LS-9,25.5,7.35,73.5
LS-9,30.5,9.32,93.2
LS-9,35.5,7.88,78.8
LS-9,35.5,9.79,97.9
LS-9,42.5,7.93,79.3
LS-9,49.5,7.52,75.2
LS-9,56.5,6.04,60.4
LS-9,61,11.65,116.5
LS-9,68,7,70
LS-9,75,7.9,79
LS-9,82,6.63,66.3
LS-9,82,7.21,72.1
LS-9,89,8.32,83.2
LS-9,96,7.26,72.6
LS-9,103,7.56,75.6
LS-9,110,8.39,83.9
LS-9,117,10.35,103.5
LS-9,124,7.95,79.5
LS-9,131,8.53,85.3
LS-9,131,8.49,84.9
LS-9,138,9.31,93.1
LS-9,145,9.76,97.6
LS-9,152,11.67,116.7
LS-9,159,12.4,124
LS-9,166,9.22,92.2
LS-9,173,7.1,71
LS-9,180,6.77,67.7
LS-9,180,6.96,69.6
LS-9,187,10.24,102.4
LS-9,194,11.38,113.8
LS-9,201,8.47,84.7
LS-9,201,11.51,115.1
LS-9,208,10.68,106.8
LS-9,215,8.91,89.1
LS-9,222,9.59,95.9
LS-9,229,16.11,161.1
LS-9,236,12.32,123.2
LS-9,243,12.05,120.5
LS-9,249,9.6,96
LS-9,249,9.68,96.8
LS-9,256,11.2,112
LS-9,263,14.24,142.4
LS-9,270,8.48,84.8
LS-9,277,8.8,88
LS-9,284,12.6,126
LS-9,291,11.49,114.9
LS-9,298,11.57,115.7
LS-9,298,13.16,131.6
LS-9,305,6.12,61.2
LS-9,315.5,1.45,14.5
LS-9,326,3.26,32.6
LS-9,336.5,7.94,79.4
LS-9,354,2.5,25
PER3,10,0.2799,2.799
PER3,20,0.3605,3.605
PER3,30,0.8694,8.694
PER3,40,2.5398,25.398
PER3,50,6.92,69.2
PER3,60,7.5742,75.742
PER3,70,8.6,86
PER3,80,8.8822,88.822
PER3,90,7.3965,73.965
PER3,100,5.5671,55.671
PER3,110,3.2005,32.005
PER3,120,5.3312,53.312
PER3,130,0.4639,4.639
PER3,140,0.1232,1.232
PER3,150,0.1668,1.668
PER3,160,7.63,76.3
PER3,170,1.2765,12.765
PER3,180,0.2947,2.947
PER3,190,6.91,69.1
PER3,200,6.8652,68.652
PER3,210,6.4428,64.428
PER3,220,7.21,72.1
PER3,230,8.9155,89.155
PER3,240,7.0264,70.264
PER3,260,7.8562,78.562
PER3,270,9.5515,95.515
PER3,280,6.4129,64.129
PER3,290,6.0448,60.448
PER3,300,9.3344,93.344
PER3,310,8.213,82.13
PER3,320,6.9121,69.121
PER3,330,5.61,56.1
PER3,340,5.37,53.7
PER3,350,4.4075,44.075
PER3,360,3.3864,33.864
PER3,370,6.18,61.8
PER3,380,6.9231,69.231
PER3,390,5.1623,51.623
PER3,400,7.6344,76.344
PER3,410,8.8523,88.523
PER3,420,6.7531,67.531
PER3,430,0.1644,1.644
PER3,440,4.2624,42.624
PER3,450,2.8299,28.299
PER3,460,6.29,62.9
PER3,470,3.1447,31.447
PER3,480,2.4467,24.467
PER3,490,3.4331,34.331
PER3,500,0.5072,5.072
PER3,510,4.4464,44.464
PER3,520,5.842,58.42
PER3,530,6.0339,60.339
PER3,540,5.1792,51.792
PER3,550,6.4156,64.156
PER3,560,6.1555,61.555
PER3,570,5.62,56.2
PER3,580,3.1462,31.462
PER3,590,4.2391,42.391
PER3,600,5.7143,57.143
PER3,610,5.0154,50.154
PER3,620,5.62,56.2
PER3,630,8.0289,80.289
PER3,640,7.02,70.2
PER3,650,43.6356,436.356
PER3,660,40.93095,409.3095
PER3,671,50.7238,507.238
PER3,680,50.3888,503.888
PER3,690,48.61,486.1
PG1111,0.25,0.94,9.4
PG1111,1.25,0.94,9.4
PG1111,1.75,0.94,9.4
PG1111,2.25,0.97,9.7
PG1111,3,0.807,8.07
PG1111,3,0.94,9.4
PG1111,4,0.77,7.7
PG1111,5,0.74,7.4
PG1111,6,0.707,7.07
PG1111,6,0.72,7.2
PG1111,7,0.71,7.1
PG1111,8,0.9,9
PG1111,9,0.84,8.4
PG1111,10,0.93,9.3
PG1111,11,0.831,8.31
PG1111,11,0.88,8.8
PG1111,13,0.91,9.1
PG1111,14,1.11,11.1
PG1111,15,0.81,8.1
PG1111,16,0.785,7.85
PG1111,16,0.84,8.4
PG1111,17,0.76,7.6
PG1111,22,0.72,7.2
PG1111,32,0.657,6.57
