CoreID,CompositeDepth,DryBulkDensity,WaterContent,TOC_percent,TOC_mg_g
PG2201,6,0.180937815935653,83.0807945025756,36.695,366.95
PG2201,16,0.21144065667203,80.5799706578199,33.081,330.81
PG2201,26,0.17192883699963,83.9680491420405,32.9405307769775,329.405307769775
PG2201,46,0.154630801152388,85.4323886187042,35.3634281158447,353.634281158447
PG2201,56,0.240081685803213,78.1259600614439,34.4792861938476,344.792861938476
PG2201,66,0.244446066469961,77.7673924588423,34.4147796630859,344.147796630859
PG2201,76,0.190109445045516,82.3490505282579,34.5896091461181,345.896091461181
PG2201,91,0.238962728154532,78.3584065471176,31.3220338821411,313.220338821411
PG2201,101,0.254974834832392,77.1157376098928,29.9595127105712,299.595127105712
PG2201,111,0.221515608284197,79.7824816299265,31.7820949554443,317.820949554443
PG2201,131,0.247766375822712,77.7372437959007,29.0221576690673,290.221576690673
PG2201,141,0.258929823473588,76.6632104362084,32.7432079315185,327.432079315185
PG2201,151,0.278032087768713,75.1467855815682,32.3232612609863,323.232612609863
PG2201,161,0.15069904249805,85.7285984637649,37.8382778167724,378.382778167724
PG2201,166,0.178012364354164,83.5284540812551,29.2933273315429,292.933273315429
PG2201,176,0.17056298282489,84.0358410715116,35.0102195739746,350.102195739746
PG2201,186,0.178478505477983,83.3632024118583,34.3292827606201,343.292827606201
PG2201,196,0.222417273921187,79.5772797995514,35.0740032196044,350.740032196044
PG2201,206,0.186810896192298,82.5766598383434,36.4363746643066,364.363746643066
PG2201,216,0.149695961664701,85.9817085035999,29.3122453689575,293.122453689575
PG2201,226,0.148897421281752,85.9830961457584,33.2559452056884,332.559452056884
PG2201,246,0.212156857439461,80.3833448567258,36.6448421478271,366.448421478271
PG2201,256,0.168839660663147,84.2273728606127,33.3498382568359,333.498382568359
PG2201,266,0.198475675595267,81.6730172447657,33.2744407653808,332.744407653808
PG2201,276,0.174143585009399,83.6884748545526,36.2626419067382,362.626419067382
PG2201,286,0.183006711310497,82.8259270554888,38.9740982055664,389.740982055664
PG2201,296,0.20610838414517,80.7964875844856,39.2233695983886,392.233695983886
PG2201,306,0.187618932332753,82.6133046016961,32.899185180664,328.99185180664
PG2201,326,0.167561302424576,84.2697903502803,36.1687278747558,361.687278747558
PG2201,336,0.145316969924887,86.3263951897946,31.7820110321044,317.820110321044
PG2201,346,0.157075573303845,85.2846003620761,32.0696678161621,320.696678161621
PG2201,366,0.153451056728917,85.5127586500525,36.4867286682128,364.867286682128
PG2201,376,0.165610836922407,84.478459520618,34.6785812377929,346.785812377929
PG2201,386,0.188469875895285,82.6263927729542,29.7114105224609,297.114105224609
PG2201,401,0.183664700462925,82.8689865554695,35.8382396697998,358.382396697998
PG2201,403,0.183283206266769,82.9115566802933,35.5258846282958,355.258846282958
PG2201,413,0.188616083892509,82.4054326127387,36.8716583251953,368.716583251953
PG2201,423,0.190396476537797,82.4194332546187,31.3307991027832,313.307991027832
PG2201,453,0.220658574286319,79.9966245358737,27.6029806137084,276.029806137084
PG2201,473,0.225239865335778,79.6474089046095,26.7878170013427,267.878170013427
PG2201,491,0.191228277872697,82.4300088153935,28.2383975982666,282.383975982666
PG2201,501,0.0514231325546759,94.9710506937727,31.0526285171508,310.526285171508
PG2201,526,0.174003631677193,83.9174741554502,27.1399478912353,271.399478912353
PG2201,536,0.228114604102621,79.295638782176,30.1604747772216,301.604747772216
PG2201,546,0.187900905094123,82.7372543983562,27.1469821929931,271.469821929931
PG2201,563,0.193970371432563,82.4155061487092,18.4276800155639,184.276800155639
PG2201,584,0.371247798773979,69.5897311143229,6.51508975028991,65.1508975028991
PG2201,594,0.322530401761139,72.8710499459169,8.45635652542114,84.5635652542114
PG2201,604,0.546667725484786,58.5508845199165,8.92885208129882,89.2885208129882
PG2201,614,0.665228808414174,51.5790979183732,13.106810092926,131.06810092926
PG2201,634,0.468335191380884,63.0621239175534,11.1933131217956,111.933131217956
PG2201,644,0.699040802376075,49.1875161207119,17.4246759414672,174.246759414672
EN18218,0.5,0.28,79.7,2.15831867524992,21.5831867524992
EN18208,1.5,0.34635,70.0220712338253,2.204612613,22.04612613
EN18208,21.5,0.432633333,66.853523680615,1.262350798,12.62350798
EN18208,41.5,0.544116667,60.5245338685884,1.228864312,12.28864312
EN18208,61.5,0.55865,60.8084091387414,1.079054832,10.79054832
EN18208,81.5,0.4976,62.3130230620669,0.902918696,9.02918696
EN18208,101.5,0.467766667,61.3362722138036,0.763763428,7.63763428
EN18208,121.5,0.52395,59.9554168524298,0.730617136,7.30617136
EN18208,141.5,0.521216667,58.1004314156328,0.751687676,7.51687676
EN18208,151.5,0.586966667,55.4140449936067,0.710426539,7.10426539
EN18208,161.5,0.532316667,57.7526455026455,0.449150503,4.49150503
EN18208,181.5,0.69285,52.3093337004405,0.418058828,4.18058828
EN18208,461.5,1.225866667,33.1254261944811,0.355389208,3.55389208
EN18208,481.5,1.15005,33.4885200393268,0.377892181,3.77892181
EN18208,501.5,1.191016667,32.679227508243,0.589667916,5.89667916
EN18208,521.5,1.3282,32.8694655974122,0.629039139,6.29039139
EN18208,541.5,1.276783333,34.062368201341,0.6611498,6.611498
EN18208,561.5,1.347,37.1691116449378,0.605911016,6.05911016
EN18208,581.5,1.2495,39.6226111187172,0.477377832,4.77377832
EN18208,601.5,1.239283333,40.1514785660244,0.502285391,5.02285391
EN18208,621.5,1.129433333,41.7802864334991,0.522643954,5.22643954
EN18208,641.5,1.117033333,39.2658106259005,0.483341724,4.83341724
EN18208,661.5,1.207633333,42.0808620165945,0.466256469,4.66256469
