CoreID,CompositeDepth,DryBulkDensity,WaterContent,WetBulkDensity,TOC_percent,TOC_mg_g
PG1228,1481,0.98700564,34.67,1.5108,1.34,13.4
PG1228,1501,0.96308016,31.12,1.3982,2.01,20.1
PG1228,1601,1.26715824,16.06,1.5096,1.33,13.3
PG1228,1621,1.096172,28.82,1.54,1.39,13.9
PG1228,1642,0.5861532,26.95,0.8024,1.22,12.2
PG1228,1661,1.12319067,29.23,1.5871,1.1,11
PG1228,1681,1.13359729,29.19,1.6009,1.2,12
PG1228,1701,1.06179885,28.81,1.4915,1.18,11.8
PG1228,1721,1.08635673,27.61,1.5007,1.16,11.6
PG1228,1741,1.06588176,35.96,1.6644,1.38,13.8
PG1228,1761,0.9276176,35.6,1.4404,2.26,22.6
PG1228,1781,1.03541114,35.42,1.6033,1.92,19.2
PG1228,1801,0.98082004,30.86,1.4186,2.04,20.4
PG1228,1821,1.19115252,27.16,1.6353,1.52,15.2
PG1228,1841,1.13702862,29.02,1.6019,1.43,14.3
PG1228,1861,1.20068405,27.05,1.6459,1.91,19.1
PG1228,1881,1.32336848,19.64,1.6468,1.48,14.8
PG1228,1901,1.07567899,30.57,1.5493,1.62,16.2
PG1228,1921,1.1048847,29.31,1.563,1.6,16
PG1228,1941,1.18792166,26.54,1.6171,1.56,15.6
PG1228,1961,1.07162337,30.11,1.5333,1.55,15.5
PG1228,1981,1.31628953,26.13,1.7819,2.79,27.9
PG1228,2001,1.13693984,28.16,1.5826,1.76,17.6
PG1228,2021,1.10940102,30.58,1.5981,1.57,15.7
PG1228,2041,1.09434816,27.16,1.5024,1.8,18
PG1228,2061,1.07524725,29.05,1.5155,1.67,16.7
PG1228,2081,1.27974045,20.95,1.6189,1.93,19.3
PG1228,2101,1.29552192,22.72,1.6764,1.93,19.3
PG1228,2121,1.16374164,27.61,1.6076,1.82,18.2
PG1228,2141,1.0927812,31.12,1.5865,1.7,17
PG1228,2161,1.08736884,28.34,1.5174,1.76,17.6
PG1228,2181,0.37143549,30.87,0.5373,1.67,16.7
PG1228,2201,1.15869866,26.66,1.5799,1.77,17.7
PG1228,2221,1.09135407,30.01,1.5593,1.58,15.8
PG1238,10,0.789184,48.08,1.52,0.36,3.6
PG1238,18,0.920192,41.76,1.58,0.37,3.7
PG1238,58,1.045253,37.41,1.67,0.4,4
PG1238,74,1.113774,35.99,1.74,0.43,4.3
PG1238,90,1.138544,35.31,1.76,0.41,4.1
PG1238,108,1.169772,31.99,1.72,0.42,4.2
PG1238,126,1.20672,32.96,1.8,0.44,4.4
PG1238,150,1.278765,29.35,1.81,0.42,4.2
PG1238,158,1.227318,30.66,1.77,0.47,4.7
PG1238,168,1.208976,32.08,1.78,0.4,4
PG1238,178,1.228203,30.61,1.77,0.41,4.1
PG1238,186,1.195635,32.45,1.77,0.52,5.2
PG1238,194,1.197855,29.95,1.71,0.5,5
PG1238,202,1.246547,31.13,1.81,0.43,4.3
PG1238,210,1.254188,29.54,1.78,0.44,4.4
PG1238,218,1.255107,29.09,1.77,0.44,4.4
PG1238,225,1.217916,31.96,1.79,0.42,4.2
PG1238,233,1.1921,31.88,1.75,0.41,4.1
PG1238,241,1.182896,32.79,1.76,0.39,3.9
PG1238,249,1.218114,31.18,1.77,0.42,4.2
PG1238,257,1.209824,31.26,1.76,0.42,4.2
PG1238,265,1.195458,32.46,1.77,0.42,4.2
PG1238,273,1.122836,33.56,1.69,0.46,4.6
PG1238,281,1.185625,32.25,1.75,0.48,4.8
PG1238,289,1.11333,34.51,1.7,0.42,4.2
PG1238,305,1.19315,31.82,1.75,0.41,4.1
PG1238,313,1.132875,33.75,1.71,0.43,4.3
PG1238,321,1.166607,34.09,1.77,0.45,4.5
PG1238,329,1.125884,34.92,1.73,0.43,4.3
PG1238,337,1.08749,36.03,1.7,0.41,4.1
PG1238,345,1.113356,35.27,1.72,0.42,4.2
PG1238,353,1.141,34.8,1.75,0.38,3.8
PG1238,361,1.107909,35.21,1.71,0.39,3.9
PG1238,371,1.129113,33.97,1.71,0.44,4.4
PG1238,379,1.13142,34.6,1.73,0.41,4.1
PG1238,387,1.138513,34.19,1.73,0.43,4.3
PG1238,403,1.117998,34.62,1.71,0.42,4.2
PG1238,411,1.231699,31.19,1.79,0.39,3.9
PG1238,419,1.202568,32.44,1.78,0.4,4
PG1238,427,1.243832,31.28,1.81,0.4,4
PG1238,435,1.23714,31.27,1.8,0.41,4.1
PG1238,443,1.218766,31.53,1.78,0.42,4.2
PG1238,451,1.213335,31.45,1.77,0.43,4.3
PG1238,459,1.182678,32.03,1.74,0.45,4.5
PG1238,467,1.184661,33.07,1.77,0.43,4.3
PG1238,475,1.202538,32.06,1.77,0.42,4.2
PG1238,483,1.190464,32.36,1.76,0.43,4.3
PG1238,502,1.161522,32.86,1.73,0.42,4.2
PG1238,510,1.664606,3.78,1.73,0.41,4.1
PG1238,518,1.16319,33.15,1.74,0.39,3.9
PG1238,526,1.148547,33.61,1.73,0.4,4
PG1238,534,1.143011,33.93,1.73,0.4,4
PG1238,558,1.13834,34.2,1.73,0.4,4
PG1238,566,1.223775,30.07,1.75,0.4,4
PG1238,574,1.213302,30.27,1.74,0.41,4.1
PG1238,582,1.2042,33.1,1.8,0.43,4.3
PG1238,590,1.179552,32.98,1.76,0.39,3.9
PG1238,606,1.19064,32.35,1.76,0.42,4.2
PG1238,614,1.171596,34.18,1.78,0.45,4.5
PG1238,622,1.16655,33.34,1.75,0.45,4.5
PG1238,630,1.270208,28.64,1.78,0.41,4.1
PG1238,656,1.292048,29.78,1.84,0.38,3.8
PG1238,666,1.293096,27.76,1.79,0.3,3
PG1238,674,1.228378,30.99,1.78,0.42,4.2
PG1238,682,1.202814,29.66,1.71,0.39,3.9
PG1238,690,1.26819,30.7,1.83,0.39,3.9
PG1238,698,1.19142,33.81,1.8,0.41,4.1
PG1238,706,1.162654,30.38,1.67,0.32,3.2
PG1238,714,1.242032,29.43,1.76,0.38,3.8
PG1238,722,1.21835,30.38,1.75,0.6,6
PG1238,730,1.296792,30.28,1.86,0.49,4.9
PG1238,738,1.30824,28.9,1.84,0.46,4.6
PG1238,746,1.28988,28.34,1.8,0.43,4.3
PG1238,754,1.32756,28.24,1.85,0.47,4.7
PG1238,762,1.247145,31.85,1.83,0.6,6
PG1238,770,1.193984,32.16,1.76,0.5,5
PG1238,778,1.13747,33.09,1.7,0.48,4.8
PG1238,786,0.94085,39.3,1.55,0.46,4.6
PG1238,810,0.94592,40.88,1.6,0.42,4.2
PG1238,818,0.976859,40.07,1.63,0.42,4.2
PG1238,826,0.955416,43.13,1.68,0.37,3.7
PG1238,834,1.013928,38.92,1.66,0.41,4.1
PG1238,842,0.92688,42.07,1.6,0.4,4
PG1238,850,1.172688,33.37,1.76,0.33,3.3
PG1238,858,1.1837,33.5,1.78,0.38,3.8
PG1238,866,1.17711,32.35,1.74,0.4,4
PG1238,874,1.18459,33.45,1.78,0.42,4.2
PG1238,882,1.176342,33.54,1.77,0.43,4.3
PG1238,890,1.196624,32.01,1.76,0.38,3.8
PG1238,914,1.2132,32.6,1.8,0.42,4.2
PG1238,922,1.166844,32.94,1.74,0.33,3.3
PG1238,930,1.177758,33.46,1.77,0.48,4.8
PG1238,938,1.17565,32.82,1.75,0.49,4.9
PG1238,946,1.218492,32.68,1.81,0.52,5.2
PG1238,954,1.240212,31.48,1.81,0.62,6.2
PG1238,962,1.29611,29.94,1.85,0.44,4.4
PG1238,970,1.298024,28.68,1.82,0.38,3.8
PG1238,978,1.275145,29.55,1.81,0.77,7.7
PG1238,986,1.213302,30.27,1.74,0.75,7.5
PG1238,988,1.326578,29.06,1.87,0.69,6.9
PG1238,990,1.337735,27.69,1.85,0.21,2.1
PG1238,994,1.364913,27.01,1.87,0.15,1.5
PG1238,998,1.446658,25.43,1.94,0.22,2.2
PG1238,1002,1.535604,23.98,2.02,0.62,6.2
PG1238,1006,1.646892,20.44,2.07,0.1,1
PG1238,1014,1.85541,19.33,2.3,0.06,0.6
PG1238,1022,2.007185,12.35,2.29,0.07,0.7
PG1238,1030,2.12396,8.45,2.32,0.06,0.6
