CoreID,CompositeDepth,WaterContent,TOC_percent,TOC_mg_g,Sand_percent,Silt_percent,Clay_percent,DryBulkDensity
Co1309,3.0,77.66119801602441,3.58141619407895,35.814161940789496,0.0457108261402133,0.674148592707558,0.28014058115222806,0.37923221197192036
Co1309,11.0,72.0213207366506,2.24294097540984,22.429409754098398,0.0270396186220283,0.6740486357633809,0.298911745614592,0.4538081328212045
Co1309,19.0,73.75924600334051,2.0278458176100598,20.278458176100603,0.0318709972608744,0.6918710825341889,0.276257920204937,0.4284271691107516
Co1309,27.0,73.2272036124038,2.5456411009174302,25.4564110091743,0.0497821477812769,0.696814285572339,0.253403566646385,0.42687859899422115
Co1309,35.0,70.9294504016144,2.67133166229508,26.713316622950803,0.0554364283700204,0.70909970472364,0.235463866906339,0.4481834173304814
Co1309,43.0,72.4020299437765,2.4258291029900296,24.258291029900303,0.0469199959199276,0.695317541293144,0.257762462786929,0.4386483134107537
Co1309,51.0,73.12152948618821,2.6693561540785495,26.6935615407855,0.0604854538732937,0.684888959966491,0.254625586160216,0.4301479048778603
Co1309,59.0,70.80983385231801,2.355845936,23.55845936,0.0414977439194643,0.694930893036408,0.263571363044127,0.4597421429572116
Co1309,67.0,68.3858114075626,2.1113981878980903,21.113981878980898,0.0521113602873466,0.684298854953724,0.26358978475892997,0.49481403488244724
Co1309,75.0,66.7559679386653,2.0383008551532,20.383008551532,0.0434033030074208,0.7199000192269309,0.23669667776564798,0.5056169722951805
Co1309,83.0,67.9682199216442,2.4661799255952404,24.661799255952396,0.0406515329304352,0.7029059554938821,0.25644251157568304,0.4931253962245418
Co1309,91.0,71.1782976916717,2.8125008962264104,28.125008962264104,0.0495200158191799,0.6811491112060072,0.269330872974813,0.4562935942210725
Co1309,99.0,69.384676625254,2.66727636585366,26.672763658536603,0.0440766868694257,0.6831531652672479,0.27277014786332604,0.4802820825101047
Co1309,107.0,72.3379404321589,2.4474969696969704,24.4749696969697,0.0404980664104046,0.6826951023005811,0.276806831289015,0.4463562294530232
Co1309,115.0,72.6119473634384,2.4742458843930604,24.742458843930603,0.0425080025832905,0.674595493465059,0.282896503951649,0.4455359694327591
Co1309,123.0,72.976061840246,2.15800269306931,21.5800269306931,0.0369713242258969,0.664316060059859,0.29871261571424396,0.44802923193927247
Co1309,131.0,68.1390672634105,1.8746301886792498,18.7463018867925,0.0499645435055507,0.630059737525683,0.319975718968766,0.5234379238758953
Co1309,140.0,64.4652684813327,1.5768731707317099,15.7687317073171,0.0467486293196709,0.6365179560565849,0.316733414623744,0.5784224317039797
Co1309,147.0,63.0533656761674,1.3679506331521698,13.679506331521699,0.10607513430169901,0.632855930452817,0.26106893524548497,0.5921098506590137
Co1309,155.0,57.89858215941,0.9173656075949371,9.173656075949369,0.07873971720813999,0.602476562199455,0.318783720592404,0.707517847430788
Co1309,163.0,57.678686030757504,0.7971491022099448,7.97149102209945,0.0311832247979828,0.586256186768809,0.38256058843320706,0.7344296925461858
Co1309,171.0,55.8305524657026,0.647751076190476,6.477510761904759,0.0374226854030632,0.540706940299716,0.42187037429721996,0.7990901655736296
Co1309,179.0,55.9616003166984,0.586450975609756,5.86450975609756,0.0208733194635165,0.540713415957861,0.43841326457862295,0.802180086155205
Co1309,187.0,53.531266290991205,0.501057580645161,5.010575806451611,0.0336973788310917,0.513522627558464,0.452779993610444,0.8714173717586482
Co1309,195.0,49.82725713319321,0.39526227762039706,3.9526227762039703,0.0277796179510826,0.556706161442603,0.41551422060631393,0.9354286489812238
Co1309,203.0,40.8821732387085,0.287832315634218,2.8783231563421805,0.0600636001913181,0.666281426910611,0.273654972898071,1.084230120196942
Co1309,211.0,46.344175044352504,0.24504754716981103,2.45047547169811,0.0435110683293021,0.6170088677510049,0.339480063919694,0.9791915110998175
Co1309,219.0,60.83038145497479,0.443098220670391,4.43098220670391,0.0271680854109423,0.426844705903627,0.5459872086854299,0.7693527438995653
Co1309,227.0,50.450470741925294,0.39930330994152097,3.99303309941521,0.0251393961012497,0.587350700815285,0.387509903083466,0.9017437904366222
Co1309,235.0,34.2590789601791,0.29359018289085603,2.9359018289085603,0.0328926891374084,0.6094104482367121,0.35769686262588,1.366569630625715
Co1309,243.0,33.7474782266398,0.313401356382979,3.13401356382979,0.0413712702243047,0.564997627962765,0.393631101812931,1.4284445408752369
Co1309,251.0,32.3502763432092,0.237350644067797,2.3735064406779705,0.0218764195615461,0.639677618590472,0.338445961847982,1.4140356620596088
Co1309,259.0,48.481887511916106,0.31639194719471897,3.16391947194719,0.0335219496329098,0.5134150227071179,0.45306302765997203,1.0053094044125623
Co1309,267.0,49.84136426730121,0.326973042216359,3.2697304221635894,0.0136676821679944,0.490996515330192,0.49533580250181397,0.9932048494979185
Co1309,275.0,50.9614728170585,0.256813746031746,2.56813746031746,0.0423054784729461,0.4757118362651239,0.48198268526193105,0.9668496105646138
Co1309,283.0,50.8373062456578,0.226066420289855,2.2606642028985497,0.0299589273477829,0.46620818273248205,0.503832889919735,0.982299729036686
Co1309,292.0,52.226233453670304,0.232554016949153,2.32554016949153,0.0656269891375425,0.46027372419866497,0.4740992866637921,0.939304447112673
Co1309,299.0,52.221146866682794,0.221093307304786,2.21093307304786,0.163027808053179,0.460191455979374,0.376780735967447,0.9083321729521721
Co1309,307.0,57.59730991605579,0.276324847701149,2.7632484770114907,0.0101328176735411,0.317626621647216,0.6722405606792429,0.9239669525216272
Co1309,315.0,54.247086247086294,0.235283653846154,2.35283653846154,0.0228302145959416,0.43638271871477596,0.540787066689283,0.9212090642219332
