"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-39.556125386556
21997,-37.418061319987
21996,-40.6554779052734
21995,-37.6470270792643
21994,-39.4195541381836
21993,-36.7769327799479
21992,-38.7799031575521
21991,-37.3743321736653
21990,-39.5132507324219
21989,-38.8104792277018
21988,-40.1591832478841
21987,-38.8851404825846
21986,-38.9144805908203
21985,-36.478020731608
21984,-37.6228597005208
21983,-32.5936213175455
21982,-35.6536900838216
21981,-35.2415552775065
21980,-37.4244572957357
21979,-39.8769744873047
21978,-34.2402303059896
21977,-36.9437571207682
21976,-36.9501988728841
21975,-41.5784642537435
21974,-37.8642664591471
21973,-38.5419525146484
21972,-39.04661916097
21971,-41.2214823404948
21970,-38.7551457722982
21969,-44.5519521077474
21968,-36.8270350138346
21967,-39.969107055664
21966,-41.6104161580403
21965,-40.0480560302734
21964,-37.8991404215495
21963,-41.8146143595377
21962,-44.639621480306
21961,-38.7791529337565
21960,-40.0006622314453
21959,-42.1467778523763
21958,-37.8354578653971
21957,-41.52513478597
21956,-35.8369354248047
21955,-36.8656219482422
21954,-35.3705632527669
21953,-36.8391326904297
21952,-35.8007136027018
21951,-39.246071879069
21950,-40.7947626749674
21949,-40.4193735758463
21948,-36.2761189778646
21947,-37.6468083699544
21946,-39.5601765950521
21945,-40.559787495931
21944,-38.1119623819987
21943,-38.3487813313802
21942,-38.4233713785807
21941,-39.9976079305013
21940,-43.4548706054687
21939,-41.0664021809896
21938,-38.8215952555338
21937,-42.0442947387695
21936,-40.1264022827148
21935,-38.7721313476562
21934,-37.3598185221354
21933,-38.6621383666992
21932,-41.2181635538737
21931,-37.8408213297526
21930,-39.5089146931966
21929,-41.1974294026693
21928,-37.3880574544271
21927,-37.6485911051432
21926,-36.2190434773763
21925,-36.0302261352539
21924,-34.689566040039
21923,-41.4093765258789
21922,-39.0897608439127
21921,-41.3001973470052
21920,-33.8965133666992
21919,-37.9097300211588
21918,-37.6167104085286
21917,-38.4175450642903
21916,-39.9148646036784
21915,-38.8440511067708
21914,-40.6204895019531
21913,-40.6893320719401
21912,-41.3644978841146
21911,-37.5315409342448
21910,-39.7366775512695
21909,-42.3087626139323
21908,-38.2557764689127
21907,-42.0746292114258
21906,-40.9522028605143
21905,-38.909033203125
21904,-36.7487828572591
21903,-37.6109832763672
21902,-41.4545145670573
21901,-38.0945775349935
21900,-39.4062154134114
21899,-38.7529535929362
21898,-37.3025497436523
21897,-34.5755930582682
21896,-37.4294494628906
21895,-39.0166508992513
21894,-39.4206247965495
21893,-35.5165771484375
21892,-40.199575805664
21891,-39.0068420410156
21890,-36.7734359741211
21889,-34.8072570800781
21888,-41.8350433349609
21887,-39.349457804362
21886,-39.5078898111979
21885,-38.8353688557943
21884,-43.4432027180989
21883,-43.3940414428711
21882,-40.7860778808594
21881,-37.9298868815104
21880,-37.7458404541015
21879,-37.177229309082
21878,-40.4135752360026
21877,-38.8148788452148
21876,-35.3200337727864
21875,-37.8465459187825
21874,-41.6524846394857
21873,-36.6386093139648
21872,-36.972161356608
21871,-36.9617268880208
21870,-43.117300415039
21869,-39.1713165283203
21868,-38.9334243774414
21867,-41.5799723307291
21866,-37.0084365844726
21865,-40.1023137410482
21864,-39.821875
21863,-41.0946843465169
21862,-39.3131851196289
21861,-39.2048680623372
21860,-41.2965352376302
21859,-39.6054824829101
21858,-38.0801300048828
21857,-35.983994547526
21856,-36.6110087076823
21855,-38.5609344482422
21854,-37.960920715332
21853,-39.2030192057291
21852,-39.4561879475911
21851,-40.3308980305989
21850,-39.5692479451497
21849,-40.9280253092448
21848,-39.4947723388672
21847,-38.8570744832357
21846,-41.3589538574219
21845,-35.9232060750325
21844,-34.8065933227539
21843,-39.4489883422851
21842,-39.0563212076823
21841,-39.5465199788411
21840,-40.5508560180664
21839,-41.3590861002604
21838,-36.6207565307617
21837,-36.2178736368815
21836,-42.1257639567057
21835,-41.9317357381185
21834,-41.6654062906901
21833,-39.0960957845052
21832,-38.2334350585937
21831,-38.3676081339518
21830,-39.5211242675781
21829,-40.012932840983
21828,-35.957512919108
21827,-36.8852167765299
21826,-39.3396082560221
21825,-38.0089757283528
21824,-35.2557459513346
21823,-41.8076868693034
21822,-36.5776275634765
21821,-38.2998235066732
21820,-42.2446553548177
21819,-35.4566151936849
21818,-35.2183568318685
21817,-36.7672714233398
21816,-36.6405166625976
21815,-40.4275395711263
21814,-38.2262659708659
21813,-39.0162694295247
21812,-39.0811447143554
21811,-41.6417068481445
21810,-39.120952351888
21809,-38.2044230143229
21808,-37.7978068033854
21807,-41.787446085612
21806,-39.4301132202148
21805,-41.659770711263
21804,-42.7764851888021
21803,-40.405864461263
21802,-44.2035583496094
21801,-41.4044937133789
21800,-42.2582712809245
21799,-42.5814651489258
21798,-40.4769297281901
21797,-40.5931838989258
21796,-38.4594813028971
21795,-41.1911122639974
21794,-39.4299987792969
21793,-40.1098871866862
21792,-41.1463353474935
21791,-39.4405680338541
21790,-35.890613301595
21789,-41.9578435262044
21788,-38.7127314249674
21787,-37.8224650065104
21786,-37.6546590169271
21785,-38.2132120768229
21784,-40.8036916097005
21783,-39.0849288940429
21782,-40.1527414957682
21781,-38.448479715983
21780,-41.6414881388346
21779,-38.5083323160807
21778,-41.3514389038086
21777,-35.0773478190104
21776,-36.6640151977539
21775,-36.4357335408528
21774,-39.091785176595
21773,-41.0791330973307
21772,-38.6647323608398
21771,-42.134390258789
21770,-40.0545817057291
21769,-38.093354288737
21768,-38.712515258789
21767,-38.5753616333008
21766,-41.7765055338541
21765,-41.708120727539
21764,-40.4343246459961
21763,-38.8666315714518
21762,-38.1213541666666
21761,-38.0967544555664
21760,-37.1714513142903
21759,-38.5988245646159
21758,-39.9158920288086
21757,-38.6836380004883
21756,-35.6863464355469
21755,-38.1026189168294
21754,-39.1731297810872
21753,-40.0183878580729
21752,-40.8792327880859
21751,-40.1653656005859
21750,-35.5731185913086
21749,-35.9146128336588
21748,-36.5058349609375
21747,-38.0620585123698
21746,-39.5675821940104
21745,-37.664409383138
21744,-39.8115346272786
21743,-38.3028701782226
21742,-37.7999888102213
21741,-36.990825398763
21740,-40.7811442057291
21739,-40.4842412312825
21738,-40.1403081258138
21737,-40.3353332519531
21736,-41.2849614461263
21735,-40.5521072387695
21734,-39.0927744547526
21733,-39.1990442911784
21732,-35.5605987548828
21731,-41.3543533325195
21730,-35.0128158569336
21729,-37.7940022786458
21728,-40.241059366862
21727,-42.7342361450195
21726,-41.2213322957357
21725,-42.2867594401041
21724,-39.3924799601237
21723,-41.6598698933919
21722,-41.4740814208984
21721,-38.4518697102864
21720,-40.6707443237304
21719,-39.1861124674479
21718,-39.6166442871094
21717,-39.1948659261068
21716,-37.2498764038086
21715,-39.6528025309245
21714,-38.1178370157877
21713,-42.565278116862
21712,-40.2137385050455
21711,-43.6070134480794
21710,-38.7412780761719
21709,-39.0143569946289
21708,-39.1015660603841
21707,-42.4218149820963
21706,-34.9260009765625
21705,-39.967632039388
21704,-37.0485850016276
