"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-44.1882957458496
21997,-42.2977762858073
21996,-42.0480356852213
21995,-41.8258893330892
21994,-44.2468577067057
21993,-41.3078470865885
21992,-41.5802597045898
21991,-42.6274373372396
21990,-42.2831672668457
21989,-43.0778984069824
21988,-42.2665033976237
21987,-43.1403551737467
21986,-41.7467191060384
21985,-42.261831665039
21984,-43.2194999694824
21983,-40.9344619750976
21982,-42.8763921101888
21981,-41.9411478678385
21980,-43.8955546061198
21979,-44.5962471008301
21978,-44.1953236897786
21977,-42.6530225118001
21976,-42.2358408610026
21975,-44.1729454040527
21974,-42.0111882527669
21973,-42.5231524149577
21972,-44.1744649251302
21971,-42.0974741617838
21970,-41.2370755513509
21969,-42.0415252685547
21968,-43.0926574707031
21967,-43.2823903401693
21966,-42.1050005594889
21965,-43.920159403483
21964,-40.5849161783854
21963,-43.7807423909505
21962,-42.6890535990397
21961,-41.3078865051269
21960,-41.9309308369954
21959,-43.4801633199056
21958,-44.0010335286458
21957,-43.5215108235677
21956,-41.7995895385742
21955,-41.9156707763672
21954,-40.918315633138
21953,-43.9596669514974
21952,-43.9497360229492
21951,-42.467637125651
21950,-43.3088389078776
21949,-41.3361495971679
21948,-41.3067853291829
21947,-39.3321746826172
21946,-43.1198956807454
21945,-40.9197385152181
21944,-44.4772565205892
21943,-42.7674329121907
21942,-43.3863560994466
21941,-43.5439946492513
21940,-44.0311251322428
21939,-40.988383992513
21938,-43.3429753621419
21937,-41.3842160542806
21936,-43.8891840616862
21935,-43.5524047851562
21934,-43.4021642049153
21933,-43.2136660257975
21932,-41.5833585103353
21931,-43.2839022318522
21930,-44.8456659952799
21929,-43.879798634847
21928,-43.6379671732584
21927,-44.0358871459961
21926,-42.2743998209635
21925,-44.7773358662923
21924,-44.0319198608398
21923,-42.2169174194336
21922,-45.0824773152669
21921,-41.8414265950521
21920,-44.1665011088053
21919,-44.285004679362
21918,-42.262917582194
21917,-43.8240531921386
21916,-43.3514821370443
21915,-42.868391418457
21914,-42.5016362508138
21913,-41.6083702087402
21912,-44.1963600158691
21911,-42.0719716389974
21910,-42.0214701334635
21909,-42.9243059794108
21908,-42.3066899617513
21907,-44.5930516560872
21906,-43.9286242167155
21905,-42.0622276306152
21904,-41.9735791524251
21903,-41.7876838684082
21902,-43.5098047892252
21901,-42.8016189575195
21900,-43.2263982137044
21899,-39.2111254374186
21898,-41.3514122009277
21897,-44.6991269429525
21896,-42.4587933858235
21895,-43.7233578999837
21894,-44.5761309305827
21893,-42.9134315490722
21892,-44.007187906901
21891,-43.3423561096191
21890,-41.687186940511
21889,-43.321137491862
21888,-41.2423767089844
21887,-41.5758677164713
21886,-44.4266494750976
21885,-42.4848910013834
21884,-42.0797180175781
21883,-43.3066797892252
21882,-43.3367535909017
21881,-44.3062970479329
21880,-42.1678070068359
21879,-42.3095128377278
21878,-41.691446685791
21877,-43.1723503112793
21876,-43.3747530619303
21875,-44.0743863423665
21874,-41.669785563151
21873,-41.8553031921386
21872,-43.6841161092122
21871,-41.9729586283366
21870,-42.6867177327474
21869,-43.1459004720052
21868,-41.9827445983886
21867,-41.8367370605469
21866,-45.0748250325521
21865,-43.4008888244629
21864,-42.9894444783528
21863,-44.7575477600097
21862,-40.354241434733
21861,-41.3581171671549
21860,-40.9822957356771
21859,-43.0948941548665
21858,-44.4337715148926
21857,-43.3075063069661
21856,-43.3681269327799
