"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-42.8662348429362
21997,-39.9268783569336
21996,-40.4926793416341
21995,-39.5580429077148
21994,-42.7607330322265
21993,-38.3174245198568
21992,-35.79027150472
21991,-40.2948644002278
21990,-35.4945358276367
21989,-39.0047744750976
21988,-36.5520894368489
21987,-40.3847793579101
21986,-40.3197082519531
21985,-38.8628295898437
21984,-38.5839701334635
21983,-41.2390909830729
21982,-43.6729517618815
21981,-40.0524098714193
21980,-39.8636866251627
21979,-47.0513010660807
21978,-39.7097279866536
21977,-40.5116612752278
21976,-42.9062942504883
21975,-41.4208129882812
21974,-37.9526504516601
21973,-38.4314051310221
21972,-41.500222269694
21971,-40.7371022542318
21970,-40.0199493408203
21969,-38.2364741007487
21968,-37.2683980305989
21967,-37.5382395426432
21966,-38.7260548909505
21965,-41.4697428385416
21964,-38.9812911987304
21963,-41.7850351969401
21962,-40.8611892700195
21961,-43.3370422363281
21960,-39.3193598429362
21959,-40.432709757487
21958,-39.9486780802409
21957,-42.3551289876302
21956,-40.9276133219401
21955,-38.4567220052083
21954,-37.0733627319336
21953,-39.182719930013
21952,-40.1516708374023
21951,-44.8034194946289
21950,-39.029643758138
21949,-39.3215596516927
21948,-37.9176417032877
21947,-37.0408437093099
21946,-37.7006591796875
21945,-41.9339965820312
21944,-39.8259618123372
21943,-42.3208653767903
21942,-39.7284378051758
21941,-39.6540181477864
21940,-43.9157368977864
21939,-37.4688908894857
21938,-42.0836903889974
21937,-41.2129374186198
21936,-44.4183970133463
21935,-42.9003280639648
21934,-40.1873229980469
21933,-43.1735265096028
21932,-36.9380020141601
21931,-39.8727198282877
21930,-45.2734614054362
21929,-39.309917195638
21928,-41.1274907430013
21927,-43.7547286987304
21926,-40.0794738769531
21925,-43.8727350870768
21924,-38.7543497721354
21923,-40.1828089396159
21922,-43.3898503621419
21921,-39.9222345987955
21920,-42.8769185384114
21919,-47.677961730957
21918,-40.5785837809245
21917,-43.1543334960937
21916,-40.5551132202148
21915,-40.8380315144857
