"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-18.5033032735189
21997,-17.8999694824219
21996,-20.0726875305176
21995,-18.3354985555013
21994,-18.7526153564453
21993,-18.3063351949056
21992,-18.1980028788248
21991,-18.485994720459
21990,-18.8858029683431
21989,-18.5115748087565
21988,-18.8839007059733
21987,-18.837131245931
21986,-18.9055020650228
21985,-17.8144083658854
21984,-17.9349184672038
21983,-16.5673418680827
21982,-17.871981048584
21981,-17.6934481302897
21980,-17.986976369222
21979,-19.8955546061198
21978,-17.5669883728027
21977,-17.5275927225748
21976,-19.1789115905761
21975,-19.8804865519206
21974,-18.4379918416341
21973,-19.0957550048828
21972,-18.9295181274414
21971,-19.4072135925293
21970,-18.8401741027832
21969,-20.9471026102702
21968,-18.672647857666
21967,-18.7064422607422
21966,-18.6152875264485
21965,-19.7961791992187
21964,-17.6809448242187
21963,-19.9143725077311
21962,-21.3211120605469
21961,-19.2750686645508
21960,-19.2346875508626
21959,-18.9426025390625
21958,-18.0317431131998
21957,-18.7571281433105
21956,-17.8294064839681
21955,-17.3141235351562
21954,-15.7436711629232
21953,-17.9491358439127
21952,-17.194137318929
21951,-19.5907844543457
21950,-19.3186045328776
21949,-18.8671948750814
21948,-18.5137555440267
21947,-17.9358225504557
21946,-17.5354077657064
21945,-19.7142217000325
21944,-18.5822039286295
21943,-18.097078704834
21942,-18.8765345255534
21941,-18.290443166097
21940,-20.1948582967122
21939,-19.4048866271972
21938,-19.3385744730631
21937,-20.4375849405924
21936,-19.2415184020996
21935,-19.2047053019206
21934,-17.7638674418131
21933,-18.9430653889974
21932,-19.3910532633463
21931,-18.7679110209147
21930,-19.19412206014
21929,-19.441934967041
21928,-18.178195699056
21927,-18.2810386657715
21926,-17.5324284871419
21925,-17.3747632344564
21924,-17.1135696411133
21923,-19.4848973592122
21922,-19.2607711791992
21921,-18.9151354471842
21920,-17.1683385213216
21919,-18.1843233744303
21918,-19.0924629211426
21917,-19.1469914754232
21916,-19.2775533040364
21915,-17.9438232421875
21914,-19.9798085530599
21913,-19.4611813863118
21912,-19.9056749979655
21911,-17.9674540201823
21910,-19.464406077067
21909,-19.5933377583821
21908,-18.6622083028157
21907,-20.8042409261067
21906,-20.1475865681966
21905,-19.1127558390299
21904,-18.5276690165202
21903,-17.8346885681152
21902,-19.5996002197265
21901,-17.591655476888
21900,-19.7603134155273
21899,-18.0104418436686
21898,-18.0921170552571
21897,-17.6872098286946
21896,-17.8777386983235
21895,-19.076513671875
21894,-18.7673591613769
21893,-17.2783264160156
21892,-18.0556688944498
21891,-18.4249010721842
21890,-17.9822881062825
21889,-18.1182858784993
21888,-18.6858924865722
21887,-17.586720530192
21886,-19.3803314208984
21885,-19.1625058492025
21884,-19.9305989583333
21883,-19.3879824320475
21882,-17.9430208841959
21881,-18.8083735148112
21880,-18.2980903625488
21879,-18.1270596822103
21878,-18.854719543457
21877,-18.9849889119466
21876,-17.7443412780761
21875,-18.835743967692
21874,-19.9725072224935
21873,-17.5766649881998
21872,-17.4719464619954
21871,-17.7995819091797
21870,-21.499313100179
21869,-18.7933270772298
21868,-19.3625473022461
21867,-19.2376045227051
21866,-19.1151438395182
21865,-18.9602175394694
21864,-19.8560101826985
21863,-19.3604606628418
21862,-18.3371096293131
21861,-17.9115737915039
21860,-18.8556821187337
21859,-20.5195627848307
21858,-19.3207331339518
21857,-17.710302734375
21856,-18.68351465861
21855,-18.6276128133138
21854,-18.747053527832
21853,-18.700848642985
21852,-18.8918454488118
21851,-19.0552619934082
21850,-19.0884028116862
21849,-18.62119140625
21848,-19.4659548441569
21847,-18.4354766845703
21846,-19.2712107340495
21845,-18.3076067606608
21844,-17.0464691162109
21843,-19.391756439209
21842,-19.9384572347005
21841,-19.397319539388
21840,-19.5142946879069
21839,-19.4742568969726
21838,-18.0486307779948
21837,-17.7409614562988
21836,-19.4025787353515
21835,-20.3623947143554
21834,-20.2355763753255
21833,-19.4503145853678
21832,-17.6854143778483
21831,-19.4061009724935
21830,-18.7241144816081
21829,-19.0734097798665
21828,-16.3563878377278
21827,-18.588227335612
21826,-18.6910270690918
21825,-17.808701578776
21824,-18.22763671875
21823,-20.2167978922526
21822,-17.3073855082194
21821,-17.81388575236
21820,-20.222629292806
21819,-18.3452934265136
21818,-16.7416748046875
21817,-17.904716237386
21816,-18.5547546386719
21815,-19.3342193603515
21814,-18.3091618855794
21813,-19.1254816691081
21812,-18.2671188354492
21811,-20.5746241251627
21810,-18.5187795003255
21809,-20.1735201517741
21808,-18.8127960205078
21807,-20.2150215148926
21806,-18.0827761332194
21805,-19.6237904866536
21804,-19.9127461751302
21803,-19.158051554362
21802,-22.0346066792806
21801,-20.617477162679
21800,-19.7736381530761
21799,-20.52029393514
21798,-20.4769640604655
21797,-19.4773022969564
21796,-18.1745831807454
21795,-19.8385897318522
21794,-19.7691291809082
21793,-18.820669555664
21792,-21.103498840332
21791,-18.9201568603515
21790,-18.5449139912923
21789,-20.9236523946126
21788,-18.4680618286133
21787,-18.3214007059733
21786,-18.5215184529622
21785,-18.5871897379557
21784,-19.7857612609863
21783,-19.6606480916341
21782,-20.2309110005696
21781,-19.0053962707519
21780,-18.7875541687011
21779,-19.1656644185384
21778,-19.9291659037272
21777,-18.0455930074056
21776,-17.1076059977213
21775,-17.0516469319661
21774,-19.3008509318034
21773,-18.7823013305664
21772,-18.6962646484375
21771,-18.7271446228027
21770,-18.4110282897949
21769,-20.5504707336426
21768,-18.8856592814127
21767,-18.701820119222
21766,-20.2689664204915
21765,-19.3531606038411
21764,-21.1205098470052
21763,-18.6297375996907
21762,-18.1578201293945
21761,-17.9808169047038
21760,-18.1058385213216
21759,-18.1319946289062
21758,-18.8264945983886
21757,-18.9785102844238
21756,-16.8500465393066
21755,-18.5190567016601
21754,-18.9473810831706
21753,-17.8603614807129
21752,-20.6081362406413
21751,-19.5102231343587
21750,-18.43857421875
21749,-17.6955983479817
21748,-18.08408203125
21747,-19.4842170715332
21746,-18.4713233947754
21745,-17.6143669128418
21744,-19.564498647054
21743,-18.9083020528157
21742,-18.7310432434082
21741,-17.8516067504883
21740,-20.2059717814127
21739,-19.9676053365071
21738,-19.6692756652832
21737,-19.8294039408366
21736,-19.9616912841797
21735,-19.0036732991536
21734,-19.450848642985
21733,-20.278178914388
21732,-18.3058011372884
21731,-18.3695663452148
21730,-17.2782272338867
21729,-17.8492162068685
21728,-20.3900093078613
21727,-21.2037147521972
21726,-19.2302167256673
21725,-20.0821111043294
21724,-18.7310089111328
21723,-19.4205637613932
21722,-18.8578132629394
21721,-19.6810516357422
21720,-19.4141563415527
21719,-19.8478302001953
21718,-18.3155654907226
21717,-20.4140202840169
21716,-18.7386065165202
21715,-19.0000823974609
21714,-18.6797126770019
21713,-20.205918375651
21712,-19.0327590942383
21711,-20.1114372253418
21710,-18.945238494873
21709,-18.6163340250651
21708,-19.1418263753255
21707,-19.6965482076009
21706,-18.2088963826497
21705,-18.5031379699707
21704,-18.1619285583496
21703,-19.5579004923502
21702,-19.5516304016113
21701,-17.7180338541666
21700,-20.08781153361
21699,-19.8562848409017
21698,-21.2417879740397
21697,-17.7154500325521
21696,-18.3024187723795
21695,-19.9513648986816
21694,-18.6378247578939
21693,-18.4426839192708
21692,-16.8301630655924
21691,-18.6600593566894
21690,-18.1497889200846
21689,-19.861009979248
21688,-19.0042798360189
21687,-19.2935585021972
21686,-17.7991991678873
21685,-18.7634287516276
21684,-17.9531628926595
21683,-18.7154233296712
21682,-18.3126167297363
21681,-18.6424087524414
21680,-19.3055697123209
21679,-19.0129620869954
21678,-18.1739067077636
21677,-18.521353149414
21676,-19.0735572814941
21675,-20.1315737406413
21674,-19.499375406901
21673,-19.905978902181
21672,-18.9610987345377
21671,-18.2424364725748
21670,-19.3129727681478
21669,-19.0251182556152
21668,-18.2207283020019
21667,-19.0433359781901
21666,-19.2695894877116
