"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-12.5609395345052
21998,-11.1422281901041
21997,-12.3558919270833
21996,-12.6031860351562
21995,-12.4737915039062
21994,-12.3219360351562
21993,-11.4221354166666
21992,-13.1789916992187
21991,-12.4008646647135
21990,-12.7779602050781
21989,-11.3945882161458
21988,-12.3523722330729
21987,-9.29667765299477
21986,-13.6110392252604
21985,-13.2971761067708
21984,-10.5469217936198
21983,-12.0921895345052
21982,-11.4469563802083
21981,-13.4030212402344
21980,-12.044287109375
21979,-12.6552286783854
21978,-11.9691833496094
21977,-11.6388610839844
21976,-13.1306416829427
21975,-12.8703165690104
21974,-11.2478698730469
21973,-12.7825480143229
21972,-12.0464742024739
21971,-11.9760904947916
21970,-12.2170267740885
21969,-11.9050252278646
21968,-13.0238301595052
21967,-11.3978535970052
21966,-11.0617635091146
21965,-12.4217793782552
21964,-11.9793151855469
21963,-11.1952168782552
21962,-15.2089141845703
21961,-14.8432983398437
21960,-11.2980407714844
21959,-11.3384460449219
21958,-12.6247212727864
21957,-12.5096598307291
21956,-12.0673075358073
21955,-11.5459554036458
21954,-10.3531860351562
21953,-11.1843322753906
21952,-11.6252807617187
21951,-12.8508158365885
21950,-13.3100341796875
21949,-12.3875793457031
21948,-12.6391255696614
21947,-12.2452555338541
21946,-10.8511311848958
21945,-12.0249491373698
21944,-11.8717508951823
21943,-10.5222839355469
21942,-12.8534810384114
21941,-12.3423624674479
21940,-11.6265218098958
21939,-12.3442952473958
21938,-13.1214253743489
21937,-11.2184611002604
21936,-12.711279296875
21935,-12.5479797363281
21934,-11.1811889648437
21933,-12.8309997558594
21932,-11.3258728027344
21931,-12.2391723632812
21930,-12.8726969401041
21929,-11.0277567545573
21928,-12.3132588704427
21927,-11.5264953613281
21926,-11.0852925618489
21925,-11.9626525878906
21924,-11.5795756022135
21923,-11.4772908528646
21922,-12.6738545735677
21921,-10.5380004882812
21920,-11.7734334309896
21919,-10.1771606445312
21918,-12.3611104329427
21917,-13.8779256184896
21916,-13.2723449707031
21915,-11.4595601399739
21914,-12.3796549479166
21913,-13.9296376546224
21912,-13.8733581542969
21911,-10.0565958658854
21910,-11.7007609049479
21909,-14.8334055582682
21908,-11.9184936523437
21907,-13.6914326985677
21906,-13.0467793782552
21905,-13.1551981608073
21904,-12.8749450683594
21903,-11.5070048014323
21902,-12.7327128092448
21901,-12.6695719401041
21900,-12.4336100260416
21899,-10.0858418782552
21898,-12.4878702799479
21897,-13.2123168945312
21896,-11.3647420247396
21895,-14.3879862467448
21894,-13.0091817220052
21893,-11.8636840820312
21892,-12.905615234375
21891,-12.7263651529948
21890,-12.9700174967448
21889,-11.7470967610677
21888,-13.6007242838541
21887,-11.6514953613281
21886,-12.7277689615885
21885,-12.5988220214844
21884,-11.2841247558594
21883,-11.1704264322916
21882,-11.7541768391927
21881,-12.9757548014323
21880,-14.1221272786458
21879,-10.8558003743489
21878,-13.1217203776041
21877,-12.8757181803385
21876,-11.0419169108073
21875,-13.7078104654948
21874,-13.8585469563802
21873,-10.9811360677083
21872,-10.8120890299479
21871,-11.8638671875
21870,-12.5451721191406
21869,-11.3971822102864
21868,-12.7288269042969
21867,-11.8087422688802
21866,-13.462744140625
21865,-11.1704976399739
21864,-14.4823771158854
21863,-12.9653483072916
21862,-12.1692057291666
21861,-11.7143513997396
