measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 316,10647,10655,10558,10621,10676,10785,clam T4 S6,Yes
EN18218 317,10677,10686,10586,10650,10707,10818,clam T4 S6,Yes
EN18218 318,10708,10717,10616,10681,10739,10850,clam T4 S6,Yes
EN18218 319,10740,10749,10646,10712,10771,10884,clam T4 S6,Yes
EN18218 320,10772,10781,10677,10744,10803,10917,clam T4 S6,Yes
EN18218 321,10804,10813,10708,10776,10837,10952,clam T4 S6,Yes
EN18218 322,10838,10847,10740,10809,10871,10987,clam T4 S6,Yes
EN18218 323,10871,10881,10772,10842,10905,11022,clam T4 S6,Yes
EN18218 324,10906,10915,10804,10876,10940,11058,clam T4 S6,Yes
EN18218 325,10941,10950,10837,10911,10976,11094,clam T4 S6,Yes
EN18218 326,10977,10986,10872,10946,11012,11131,clam T4 S6,Yes
EN18218 327,11013,11022,10906,10982,11049,11169,clam T4 S6,Yes
EN18218 328,11050,11059,10940,11018,11086,11207,clam T4 S6,Yes
EN18218 329,11088,11096,10975,11056,11124,11246,clam T4 S6,Yes
EN18218 330,11126,11134,11011,11094,11162,11284,clam T4 S6,Yes
EN18218 331,11164,11172,11048,11132,11201,11324,clam T4 S6,Yes
EN18218 332,11204,11212,11085,11171,11241,11364,clam T4 S6,Yes
EN18218 333,11244,11251,11123,11211,11282,11406,clam T4 S6,Yes
EN18218 334,11285,11292,11161,11252,11322,11447,clam T4 S6,Yes
EN18218 335,11326,11333,11200,11293,11364,11489,clam T4 S6,Yes
EN18218 336,11368,11374,11239,11335,11406,11531,clam T4 S6,Yes
EN18218 337,11411,11417,11280,11378,11449,11573,clam T4 S6,Yes
EN18218 338,11454,11459,11321,11421,11492,11617,clam T4 S6,Yes
EN18218 339,11498,11503,11363,11465,11536,11661,clam T4 S6,Yes
EN18218 340,11543,11547,11405,11509,11581,11704,clam T4 S6,Yes
EN18218 341,11588,11592,11448,11554,11626,11748,clam T4 S6,Yes
EN18218 342,11634,11637,11491,11600,11672,11792,clam T4 S6,Yes
EN18218 343,11680,11682,11536,11646,11718,11837,clam T4 S6,Yes
EN18218 344,11727,11729,11580,11693,11765,11882,clam T4 S6,Yes
EN18218 345,11775,11775,11626,11740,11812,11928,clam T4 S6,Yes
EN18218 346,11823,11822,11671,11787,11860,11974,clam T4 S6,Yes
EN18218 347,11871,11869,11717,11835,11907,12020,clam T4 S6,Yes
EN18218 348,11920,11917,11764,11884,11955,12066,clam T4 S6,Yes
EN18218 349,11969,11965,11811,11932,12004,12113,clam T4 S6,Yes
EN18218 350,12018,12013,11857,11981,12052,12159,clam T4 S6,Yes
EN18218 351,12067,12061,11904,12030,12101,12206,clam T4 S6,Yes
EN18218 352,12116,12110,11951,12079,12151,12253,clam T4 S6,Yes
EN18218 353,12166,12159,11999,12128,12199,12300,clam T4 S6,Yes
EN18218 354,12215,12207,12048,12177,12249,12347,clam T4 S6,Yes
EN18218 355,12265,12256,12096,12227,12298,12393,clam T4 S6,Yes
EN18218 356,12314,12305,12145,12276,12347,12440,clam T4 S6,Yes
EN18218 357,12363,12353,12194,12325,12396,12486,clam T4 S6,Yes
EN18218 358,12412,12402,12242,12375,12445,12532,clam T4 S6,Yes
EN18218 359,12461,12450,12290,12424,12493,12579,clam T4 S6,Yes
EN18218 360,12510,12499,12339,12472,12541,12626,clam T4 S6,Yes
EN18218 361,12558,12547,12388,12521,12590,12673,clam T4 S6,Yes
EN18218 362,12606,12595,12436,12569,12637,12719,clam T4 S6,Yes
EN18218 363,12654,12642,12485,12617,12685,12766,clam T4 S6,Yes
EN18218 364,12701,12690,12533,12665,12732,12812,clam T4 S6,Yes
EN18218 365,12748,12737,12581,12712,12779,12858,clam T4 S6,Yes
EN18218 366,12795,12783,12630,12759,12825,12904,clam T4 S6,Yes
EN18218 367,12841,12830,12678,12806,12871,12948,clam T4 S6,Yes
EN18218 368,12887,12876,12727,12852,12917,12994,clam T4 S6,Yes
EN18218 369,12932,12923,12775,12899,12962,13040,clam T4 S6,Yes
EN18218 370,12978,12969,12823,12945,13008,13086,clam T4 S6,Yes
EN18218 371,13023,13014,12871,12991,13053,13132,clam T4 S6,Yes
EN18218 372,13068,13060,12918,13037,13097,13177,clam T4 S6,Yes
EN18218 373,13113,13106,12968,13083,13142,13222,clam T4 S6,Yes
EN18218 374,13158,13151,13017,13128,13186,13268,clam T4 S6,Yes
EN18218 375,13203,13197,13066,13173,13231,13313,clam T4 S6,Yes
EN18218 376,13248,13243,13114,13219,13275,13358,clam T4 S6,Yes
EN18218 377,13292,13288,13162,13264,13319,13404,clam T4 S6,Yes
EN18218 378,13336,13333,13211,13309,13363,13449,clam T4 S6,Yes
EN18218 379,13381,13379,13260,13354,13408,13495,clam T4 S6,Yes
EN18218 380,13425,13425,13308,13399,13453,13540,clam T4 S6,Yes
EN18218 381,13470,13470,13356,13444,13497,13587,clam T4 S6,Yes
EN18218 382,13515,13516,13404,13490,13542,13633,clam T4 S6,Yes
EN18218 383,13560,13562,13452,13535,13587,13679,clam T4 S6,Yes
EN18218 384,13605,13608,13501,13581,13633,13725,clam T4 S6,Yes
EN18218 385,13651,13654,13549,13626,13678,13771,clam T4 S6,Yes
EN18218 386,13696,13700,13597,13672,13724,13818,clam T4 S6,Yes
EN18218 387,13742,13747,13645,13718,13770,13864,clam T4 S6,Yes
EN18218 388,13788,13793,13695,13764,13817,13912,clam T4 S6,Yes
EN18218 389,13835,13840,13743,13810,13863,13959,clam T4 S6,Yes
EN18218 390,13881,13887,13791,13857,13910,14006,clam T4 S6,Yes
EN18218 391,13928,13934,13839,13903,13957,14054,clam T4 S6,Yes
EN18218 392,13975,13982,13888,13950,14005,14101,clam T4 S6,Yes
EN18218 393,14022,14029,13936,13997,14052,14149,clam T4 S6,Yes
EN18218 394,14070,14077,13984,14044,14100,14196,clam T4 S6,Yes
EN18218 395,14118,14124,14032,14092,14148,14244,clam T4 S6,Yes
EN18218 396,14165,14172,14081,14139,14196,14292,clam T4 S6,Yes
EN18218 397,14214,14221,14129,14187,14244,14341,clam T4 S6,Yes
EN18218 398,14262,14269,14177,14235,14293,14389,clam T4 S6,Yes
EN18218 399,14310,14317,14225,14283,14341,14437,clam T4 S6,Yes
EN18218 400,14359,14366,14274,14332,14390,14486,clam T4 S6,Yes
EN18218 401,14408,14415,14322,14380,14439,14535,clam T4 S6,Yes
EN18218 402,14457,14464,14371,14429,14489,14584,clam T4 S6,Yes
EN18218 403,14506,14513,14419,14478,14538,14633,clam T4 S6,Yes
EN18218 404,14556,14563,14468,14528,14588,14682,clam T4 S6,Yes
EN18218 405,14605,14612,14518,14577,14637,14732,clam T4 S6,Yes
EN18218 406,14655,14662,14567,14627,14688,14781,clam T4 S6,Yes
EN18218 407,14706,14712,14616,14677,14738,14831,clam T4 S6,Yes
EN18218 408,14756,14762,14666,14727,14788,14881,clam T4 S6,Yes
EN18218 409,14806,14813,14716,14777,14839,14931,clam T4 S6,Yes
EN18218 410,14857,14863,14765,14828,14889,14983,clam T4 S6,Yes
EN18218 411,14908,14914,14815,14879,14940,15033,clam T4 S6,Yes
EN18218 412,14959,14965,14866,14930,14991,15085,clam T4 S6,Yes
EN18218 413,15010,15016,14916,14981,15042,15136,clam T4 S6,Yes
EN18218 414,15062,15067,14967,15032,15094,15187,clam T4 S6,Yes
