"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-13.6890319824219
21998,-14.3727884928385
21997,-11.8141133626302
21996,-11.576767985026
21995,-10.9416768391927
21994,-12.5381225585937
21993,-12.7954671223958
21992,-12.0627400716146
21991,-12.528173828125
21990,-12.7972778320312
21989,-12.4362141927083
21988,-11.0331075032552
21987,-12.4963338216146
21986,-11.6868448893229
21985,-11.7159790039062
21984,-12.376084391276
21983,-12.2948771158854
21982,-13.0384582519531
21981,-12.6649230957031
21980,-14.1130076090495
21979,-16.0904042561849
21978,-14.9536499023437
21977,-14.1960205078125
21976,-16.0056213378906
21975,-11.5508076985677
21974,-13.4697733561198
21973,-14.053564453125
21972,-13.3233296712239
21971,-12.4395914713541
21970,-12.7150126139323
21969,-13.2202209472656
21968,-14.6492268880208
21967,-10.7214111328125
21966,-10.656113688151
21965,-12.2997599283854
21964,-10.8189453125
21963,-11.38388671875
21962,-10.9291239420573
21961,-11.5286010742187
21960,-14.1103220621745
21959,-12.9709431966146
21958,-12.6267964680989
21957,-10.6971700032552
21956,-13.9839742024739
21955,-13.7567708333333
21954,-11.8725646972656
21953,-11.3851379394531
21952,-14.0699829101562
21951,-12.7398742675781
21950,-12.9589294433594
21949,-12.3081115722656
21948,-11.4694885253906
21947,-9.90751749674477
21946,-13.2282470703125
21945,-12.0144205729166
21944,-13.1978006998698
21943,-11.18857421875
21942,-13.7789978027344
21941,-10.6009785970052
21940,-14.0891072591146
21939,-11.2773193359375
21938,-12.6498575846354
21937,-12.0498870849609
21936,-13.7946736653646
21935,-14.2069864908854
21934,-12.4518086751302
21933,-11.4355122884114
21932,-13.2200378417969
21931,-12.8877319335937
21930,-13.5976725260416
21929,-10.5766866048177
21928,-11.6187398274739
21927,-12.6075093587239
21926,-12.975439453125
21925,-13.076518758138
21924,-11.1027384440104
21923,-10.1910868326823
21922,-13.4227762858073
21921,-12.504258219401
21920,-11.4563863118489
21919,-13.7473917643229
21918,-13.2124491373698
21917,-13.4778198242187
21916,-10.5762390136719
21915,-14.5248321533203
21914,-13.0702168782552
21913,-12.1196350097656
21912,-12.8454549153646
21911,-12.3425760904948
21910,-12.5952463785807
21909,-13.1540486653646
21908,-11.8821116129557
21907,-11.2339335123698
21906,-8.29428710937498
21905,-9.96145222981769
21904,-10.2199564615885
21903,-11.8712829589844
21902,-10.8909261067708
21901,-8.18560384114581
21900,-9.80678914388019
21899,-12.0074727376302
21898,-10.7855692545573
21897,-11.1288004557291
21896,-10.8552815755208
21895,-10.4251871744791
21894,-15.4635223388672
21893,-12.6372945149739
21892,-12.6289428710937
21891,-13.4463460286458
21890,-10.5526285807291
21889,-10.4746053059896
21888,-14.3257710774739
21887,-11.4834757486979
21886,-11.7571065266927
21885,-10.9765380859375
21884,-12.023779296875
21883,-14.8308064778646
21882,-12.1396647135416
21881,-11.4841674804687
21880,-10.6705383300781
21879,-12.8955749511719
21878,-12.589453125
21877,-11.6369486490885
21876,-10.2961079915364
21875,-9.87369384765623
21874,-15.3147644042969
21873,-14.9158284505208
21872,-12.9875498453776
21871,-13.5004943847656
21870,-13.1549031575521
21869,-12.5296997070312
21868,-10.2869018554687
21867,-13.6489115397135
21866,-12.2973897298177
21865,-12.1733662923177
21864,-10.7238830566406
21863,-13.0825561523437
21862,-13.3004414876302
