"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-4.1794494628906
21997,-4.42064005533852
21996,-4.1650197347005
21995,-3.2096974690755
21994,-3.84933064778644
21993,-4.65276184082029
21992,-3.41951599121091
21991,-3.90140380859373
21990,-3.2646545410156
21989,-3.33869018554685
21988,-3.61488952636716
21987,-3.16063537597654
21986,-5.01628214518227
21985,-4.68436279296873
21984,-3.34488525390623
21983,-3.12493489583331
21982,-3.740337117513
21981,-3.37074890136716
21980,-3.4892639160156
21979,-5.1929992675781
21978,-3.56177876790362
21977,-4.246196492513
21976,-4.97363382975258
21975,-3.21849161783852
21974,-3.82892964680987
21973,-5.12551981608071
21972,-3.84064331054685
21971,-3.96495157877602
21970,-3.27835184733071
21969,-3.9040334065755
21968,-4.05516662597654
21967,-2.98370971679685
21966,-5.0905822753906
21965,-4.46615193684894
21964,-3.46918334960935
21963,-5.01797078450519
21962,-6.65994364420571
21961,-4.30311177571612
21960,-4.20267842610675
21959,-3.9464172363281
21958,-3.67338155110675
21957,-4.37542317708331
21956,-3.44660034179685
21955,-2.9509084065755
21954,-2.52587992350258
21953,-3.23662923177081
21952,-4.43496805826821
21951,-4.71200154622394
21950,-3.78417053222654
21949,-4.06750081380206
21948,-4.99278869628904
21947,-4.07757670084633
21946,-2.97461039225258
21945,-5.10468139648435
21944,-3.3845275878906
21943,-3.86933492024737
21942,-4.24084574381508
21941,-3.95445861816404
21940,-4.26205546061196
21939,-4.58545023600258
21938,-4.35809936523435
21937,-5.05313212076821
21936,-5.11221923828123
21935,-4.00998535156248
21934,-3.09747924804685
21933,-3.70367024739581
21932,-3.58795267740883
21931,-3.19904174804685
21930,-3.45443318684894
21929,-4.1623341878255
21928,-3.55400695800779
21927,-4.33900553385414
21926,-3.75181681315102
21925,-3.50310363769529
21924,-3.45600992838539
21923,-4.31807047526039
21922,-4.13925781249998
21921,-3.15552876790362
21920,-4.44718017578123
21919,-4.45494181315102
21918,-4.83049112955727
21917,-4.23310445149737
21916,-4.22357788085935
21915,-3.26122639973956
21914,-4.78562011718748
21913,-5.42011617024737
21912,-4.64464416503904
21911,-3.11006266276039
21910,-3.58475850423175
21909,-5.31103617350258
21908,-3.95754089355466
21907,-3.8918518066406
21906,-6.45245463053383
21905,-4.91786295572914
21904,-4.3403381347656
21903,-3.13846944173175
21902,-3.54118957519529
21901,-3.66490275065102
21900,-6.24032185872394
21899,-2.99936014811196
21898,-3.21757100423175
21897,-3.87032674153644
21896,-3.73515930175779
21895,-3.65710042317706
21894,-4.16700337727862
21893,-4.08930053710935
21892,-4.29560953776039
21891,-3.89199930826821
21890,-4.97264200846352
21889,-3.44013061523435
21888,-3.20438741048175
21887,-2.66705932617185
21886,-4.05052795410154
21885,-3.53207499186196
21884,-4.00697428385414
21883,-3.983257039388
21882,-3.06882324218748
21881,-4.23245340983071
21880,-3.84915771484373
21879,-2.83885294596352
21878,-4.77285359700519
21877,-4.17549743652341
21876,-3.82082214355466
21875,-3.65215148925779
21874,-5.06804504394529
21873,-4.12574869791664
21872,-2.95863952636716
21871,-3.16767985026039
21870,-4.48951822916664
21869,-3.88065185546873
21868,-4.61981302897133
21867,-4.43859965006508
21866,-6.46380716959633
21865,-4.23504740397133
21864,-5.73413187662758
21863,-3.70544026692706
21862,-4.08329366048175
21861,-3.24501647949216
21860,-4.21311035156248
21859,-4.33795776367185
21858,-4.71551106770831
21857,-3.72041931152341
21856,-4.57316182454425
21855,-4.42813720703123
21854,-4.99718322753904
21853,-4.00721333821612
21852,-6.30381876627602
21851,-3.36159362792966
21850,-3.46638590494789
21849,-2.79824422200519
21848,-4.00737101236977
21847,-4.05717569986977
21846,-5.57645772298175
21845,-5.07439270019529
21844,-2.54955647786456
21843,-5.19760233561196
21842,-4.01068216959633
21841,-3.51762491861977
21840,-4.80070597330727
21839,-4.07209879557289
21838,-3.78601175944008
21837,-3.34148763020831
21836,-3.28383483886716
21835,-4.0202443440755
21834,-4.48564758300779
21833,-3.45633544921873
21832,-3.09011433919269
21831,-3.56473388671873
21830,-3.05459187825519
21829,-5.13199462890623
21828,-3.04013163248696
21827,-4.10305379231769
21826,-3.01032613118487
21825,-2.91966857910154
21824,-3.70300394694008
21823,-3.93766886393227
21822,-3.66089986165362
21821,-3.80635681152341
21820,-3.74894816080727
21819,-4.35854695638019
21818,-2.89298095703123
21817,-2.73797709147133
21816,-4.17058919270831
21815,-3.18110758463539
21814,-4.02562052408852
21813,-4.49952290852862
21812,-3.78236490885414
21811,-4.56004943847654
21810,-4.07035420735675
21809,-5.58529256184894
21808,-3.86882120768227
21807,-5.79342244466144
21806,-3.50600280761716
21805,-4.29071655273435
21804,-5.10605468749998
21803,-4.42234903971352
21802,-5.83821207682289
21801,-5.65408935546873
21800,-4.26831156412758
21799,-4.68896586100258
21798,-6.44026285807289
21797,-3.57381286621091
21796,-3.35364888509112
21795,-3.94646809895831
21794,-4.61680704752602
21793,-5.04506022135414
21792,-5.36467590332029
21791,-5.07703755696612
21790,-4.66464335123696
21789,-6.84979858398435
21788,-3.25202026367185
21787,-2.84712829589841
21786,-3.48231099446612
21785,-3.6257385253906
21784,-4.44283650716144
21783,-3.58966166178383
21782,-4.857280476888
21781,-3.43954569498696
21780,-4.15178019205727
21779,-3.61541341145831
21778,-3.82866007486977
21777,-3.28171386718748
21776,-3.82793782552081
21775,-3.27645467122394
21774,-4.35280456542966
21773,-3.61495564778644
21772,-4.38837788899737
21771,-3.35617167154946
21770,-2.77828063964841
21769,-5.71828816731769
21768,-4.43427632649737
21767,-3.72947794596352
21766,-4.03390096028644
21765,-3.57248535156248
21764,-4.52396748860675
21763,-3.35592244466144
21762,-3.28872273763019
21761,-4.47119242350258
21760,-4.13864746093748
21759,-4.07326354980466
21758,-5.04732360839841
21757,-3.56878763834633
21756,-3.31820271809894
21755,-3.53657124837237
21754,-4.05025329589841
21753,-3.51349487304685
21752,-5.33169148763019
21751,-5.07298380533852
21750,-4.71845601399737
21749,-3.38513285319008
21748,-3.10733133951821
21747,-5.09648742675779
21746,-3.448100789388
21745,-3.05094502766925
21744,-4.1793273925781
21743,-4.0670227050781
21742,-3.59468180338539
21741,-3.55950012207029
