"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-29.056265258789
21997,-29.1977752685547
21996,-27.9816065470377
21995,-28.4569508870442
21994,-29.7920644124349
21993,-27.5040649414062
21992,-30.1870203653971
21991,-28.8871724446614
21990,-27.8640858968099
21989,-30.4348383585612
21988,-29.0423695882161
21987,-29.8474232991536
21986,-28.5351979573567
21985,-28.9939305623372
21984,-28.537201944987
21983,-27.5750386555989
21982,-29.2743998209635
21981,-29.8239145914713
21980,-30.2786977132161
21979,-28.7931248982747
21978,-31.0781336466471
21977,-29.3793192545573
21976,-27.6327448527018
21975,-29.393542989095
21974,-28.1600224812825
21973,-28.9551020304362
21972,-29.8318084716797
21971,-28.00804494222
21970,-29.6685546875
21969,-28.680517578125
21968,-29.7937886555989
21967,-29.3671452840169
21966,-27.9441411336263
21965,-29.8638748168945
21964,-28.0044260660807
21963,-29.4104217529297
21962,-29.2670552571614
21961,-27.3707895914713
21960,-27.5735738118489
21959,-29.8459711710612
21958,-30.5983489990234
21957,-29.4768915812174
21956,-29.2070958455403
21955,-28.7368555704752
21954,-27.6168655395508
21953,-29.5787389119466
21952,-31.0244583129883
21951,-28.2765741984049
21950,-28.8977188110351
21949,-28.0430918375651
21948,-25.3839274088541
21947,-29.5372375488281
21946,-30.0427485148112
21945,-27.882302347819
21944,-30.5590194702148
21943,-28.6665278116862
21942,-29.7735631306966
21941,-30.1458267211914
21940,-29.2368784586588
21939,-27.8853973388672
21938,-28.6187932332357
21937,-28.7401336669922
21936,-28.7334604899088
21935,-27.9022354125976
21934,-28.9546569824219
21933,-29.2575363159179
21932,-29.0311238606771
21931,-28.1463353474935
21930,-30.330419921875
21929,-28.8240239461263
21928,-29.2971684773763
21927,-30.6803166707357
21926,-29.3399159749349
21925,-29.6840169270833
21924,-29.2943125406901
21923,-28.6369257609049
21922,-30.3342981974284
21921,-28.9163548787435
21920,-29.179790242513
21919,-29.5643422444661
21918,-29.0696472167969
21917,-30.5269149780273
21916,-29.266335550944
21915,-29.2870188395182
21914,-28.6077763875325
21913,-28.5725870768229
21912,-28.790619913737
21911,-27.1830657958984
21910,-29.2028386433919
21909,-28.4774892171224
21908,-27.3865544637044
21907,-30.2815256754557
21906,-30.7651911417643
21905,-27.5892445882161
21904,-27.474457804362
21903,-28.3684499104817
21902,-31.4361150105794
21901,-27.3244588216146
21900,-27.4347671508789
21899,-25.5655705769857
21898,-28.0650365193685
21897,-29.4678024291992
21896,-28.9315933227539
21895,-29.5542002360026
21894,-29.4842742919922
21893,-28.2469161987304
21892,-32.1534052530924
21891,-30.8830144246419
21890,-27.5493275960286
21889,-28.7678487141927
21888,-28.1988688151041
21887,-26.6110595703125
21886,-29.3365208943685
21885,-29.9136642456054
21884,-29.1051900227864
21883,-30.8563268025716
21882,-29.9445149739583
21881,-29.9701115926107
21880,-29.0294403076172
21879,-31.1412948608398
21878,-27.9629908243815
21877,-29.4484517415364
21876,-28.4493596394857
21875,-28.4320536295573
21874,-28.5013005574544
21873,-28.8667867024739
21872,-30.5382191975911
21871,-29.090190633138
21870,-29.3522527058919
21869,-28.3424743652344
21868,-29.2744583129883
21867,-28.8257558186849
21866,-29.4266571044922
21865,-28.2596700032552
21864,-28.8841969807942
21863,-30.3487482706706
21862,-27.6338409423828
21861,-27.5542765299479
21860,-27.1252985636393
21859,-30.0681645711263
21858,-29.0635258992513
21857,-28.6570343017578
21856,-29.1090911865234
21855,-27.9137812296549
21854,-28.3855702718099
21853,-30.1262725830078
21852,-25.7974787394206
21851,-28.0302541097005
21850,-29.525737508138
21849,-29.0605809529622
21848,-28.9243581136067
21847,-30.4821278889974
21846,-28.5724955240885
21845,-29.1727330525716
21844,-29.8118372599284
21843,-27.533539835612
21842,-29.8484685262044
21841,-31.3748560587565
21840,-30.8015375773112
21839,-30.3280598958333
21838,-29.7544947306315
21837,-29.0221440633138
21836,-28.92991994222
21835,-27.3864857991536
21834,-30.3681269327799
21833,-31.2588155110677
21832,-29.2691660563151
21831,-29.6914657592773
21830,-30.9461044311523
21829,-30.3485702514648
21828,-26.5974817911784
21827,-28.8373092651367
21826,-31.1217407226562
21825,-28.7912200927734
21824,-30.1457834879557
21823,-28.3901173909505
21822,-30.2238525390625
21821,-29.8748865763346
21820,-31.0580327351888
21819,-29.8679361979166
21818,-31.5648864746094
21817,-28.8949671427409
21816,-30.3397277832031
21815,-28.5715571085612
21814,-29.2301289876302
21813,-28.4238774617513
21812,-27.2868916829427
21811,-28.9456568400065
21810,-28.2953501383463
21809,-27.2849054972331
21808,-29.6943776448567
21807,-28.9366617838541
21806,-29.2298873901367
21805,-29.4950546264648
21804,-28.8904403686523
21803,-27.932241821289
21802,-30.1886352539062
21801,-28.5179275512695
21800,-30.1552388509114
21799,-29.5900024414062
21798,-29.4954920450846
21797,-30.098361714681
21796,-29.5292521158854
21795,-29.2797480265299
21794,-28.6306009928385
21793,-29.6621587117513
21792,-28.230805460612
21791,-27.3407348632812
21790,-29.3939549763997
21789,-27.8972712198893
21788,-29.4617421468099
21787,-28.205191040039
21786,-28.4318908691406
21785,-29.5750691731771
21784,-27.7064753214518
21783,-28.3511617024739
21782,-29.5706517537435
21781,-30.0660435994466
21780,-28.8228413899739
21779,-28.8165267944336
21778,-30.8326858520508
21777,-29.8888203938802
21776,-26.1454503377278
21775,-29.7643544514974
21774,-28.4684254964192
21773,-28.5904881795247
21772,-29.6634735107422
21771,-28.8539260864258
21770,-28.8972966512044
21769,-29.126198832194
21768,-29.3685185750325
21767,-27.8588623046875
21766,-29.4721282958984
21765,-29.2449452718099
21764,-28.4132904052734
21763,-31.2470891316732
21762,-28.3868698120117
21761,-28.4158106486002
21760,-29.3249165852864
21759,-29.4972315470377
21758,-28.7231506347656
21757,-30.5205952962239
21756,-28.5291122436523
21755,-28.9949020385742
21754,-28.9440368652344
21753,-28.9307947794596
21752,-29.0703414916992
21751,-29.9902684529622
21750,-27.6479858398437
21749,-29.0530100504557
21748,-29.0844711303711
21747,-28.0439641316732
21746,-29.308332824707
21745,-27.4619532267252
21744,-28.7706283569336
21743,-28.8572219848633
21742,-27.9490570068359
21741,-30.9876592000325
21740,-29.9197296142578
21739,-31.6833124796549
21738,-26.0954727172851
21737,-28.5383946736653
21736,-29.7570480346679
21735,-30.0434326171875
21734,-26.1579828898112
21733,-29.2063176472982
21732,-28.714956665039
21731,-27.9814895629883
21730,-29.5146087646484
21729,-27.6954966227213
21728,-28.7473841349284
21727,-28.5666717529297
21726,-29.8686940511067
21725,-29.0785736083984
21724,-31.5441065470377
21723,-30.9175247192383
21722,-26.5231943766276
21721,-28.0517690022786
21720,-30.2076833089192
21719,-27.4447413126627
21718,-28.5526438395182
21717,-27.6053883870442
21716,-27.0529362996419
21715,-27.8485524495442
21714,-28.8009170532226
21713,-27.7526941935221
21712,-28.5219762166341
21711,-29.8547526041666
21710,-28.2338495890299
21709,-29.1271499633789
21708,-28.7969014485677
21707,-27.7603719075521
21706,-29.6051925659179
21705,-27.1729085286458
21704,-29.3801025390625
21703,-29.0738688151041
21702,-27.9869827270508
21701,-31.1129135131836
21700,-30.0619796752929
21699,-28.2936614990234
21698,-31.0165720621745
21697,-29.9010452270508
21696,-29.0463419596354
21695,-28.6145105997721
21694,-27.695425415039
21693,-28.9788345336914
21692,-26.1971852620442
21691,-28.502798461914
21690,-28.6523040771484
21689,-27.3121704101562
21688,-30.2394063313802
21687,-28.0428680419922
21686,-28.4728912353515
21685,-29.1263946533203
21684,-28.7347447713216
21683,-30.6806803385416
21682,-26.7143590291341
21681,-29.0886850992838
21680,-28.8898020426432
21679,-29.4612208048502
21678,-28.7813934326172
21677,-30.0132329305013
21676,-28.2902994791666
21675,-27.6858734130859
21674,-29.8644826253255
21673,-29.5929066975911
21672,-30.1753702799479
21671,-27.984243774414
21670,-28.8242680867513
21669,-30.897075398763
21668,-27.926616414388
21667,-30.8930725097656
21666,-28.3606272379557
21665,-27.9454126993815
21664,-29.4249379475911
21663,-29.5354268391927
21662,-30.0441472371419
21661,-27.3436416625976
21660,-29.0999384562174
21659,-27.5406071980794
21658,-29.4692545572916
21657,-28.081526184082
21656,-30.432958984375
21655,-27.1649002075195
21654,-28.0965942382812
21653,-28.919282023112
21652,-30.8695103963216
21651,-28.1917861938476
21650,-30.1598393758138
21649,-27.8493408203125
21648,-28.6159729003906
21647,-28.0680399576823
21646,-26.4864613850911
21645,-27.3258728027344
21644,-29.5158701578776
21643,-28.3687728881836
21642,-29.3808832804362
21641,-28.8214375813802
21640,-29.4176264444987
21639,-30.1009709676107
21638,-28.3958699544271
21637,-29.306628926595
21636,-30.0255620320638
21635,-30.7908106486002
21634,-27.6535934448242
