measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 407,14689,14693,14374,14602,14777,15028,hamstr,Yes
EN18218 408,14743,14746,14419,14651,14834,15089,hamstr,Yes
EN18218 409,14794,14799,14457,14698,14892,15164,hamstr,Yes
EN18218 410,14846,14852,14490,14744,14951,15242,hamstr,Yes
EN18218 411,14897,14905,14522,14787,15010,15325,hamstr,Yes
EN18218 412,14949,14958,14570,14837,15064,15385,hamstr,Yes
EN18218 413,15003,15011,14628,14892,15117,15429,hamstr,Yes
EN18218 414,15056,15064,14677,14946,15172,15482,hamstr,Yes
EN18218 415,15109,15116,14718,14998,15229,15535,hamstr,Yes
EN18218 416,15163,15169,14758,15047,15287,15595,hamstr,Yes
EN18218 417,15216,15222,14796,15095,15343,15665,hamstr,Yes
EN18218 418,15267,15275,14832,15144,15402,15735,hamstr,Yes
EN18218 419,15319,15327,14893,15199,15450,15774,hamstr,Yes
EN18218 420,15374,15380,14949,15255,15503,15816,hamstr,Yes
EN18218 421,15430,15433,15000,15310,15556,15866,hamstr,Yes
EN18218 422,15485,15485,15049,15363,15612,15916,hamstr,Yes
EN18218 423,15538,15538,15093,15412,15669,15977,hamstr,Yes
EN18218 424,15592,15590,15134,15461,15725,16043,hamstr,Yes
EN18218 425,15645,15643,15188,15514,15776,16094,hamstr,Yes
EN18218 426,15698,15696,15250,15571,15825,16131,hamstr,Yes
EN18218 427,15753,15749,15312,15627,15876,16175,hamstr,Yes
EN18218 428,15808,15803,15363,15684,15929,16225,hamstr,Yes
EN18218 429,15863,15856,15414,15738,15982,16275,hamstr,Yes
EN18218 430,15917,15909,15460,15789,16036,16331,hamstr,Yes
EN18218 431,15971,15962,15504,15840,16092,16396,hamstr,Yes
EN18218 432,16022,16015,15584,15899,16137,16430,hamstr,Yes
EN18218 433,16073,16068,15660,15957,16185,16466,hamstr,Yes
EN18218 434,16127,16121,15724,16015,16234,16502,hamstr,Yes
EN18218 435,16181,16174,15780,16071,16283,16546,hamstr,Yes
EN18218 436,16235,16227,15834,16126,16335,16594,hamstr,Yes
EN18218 437,16289,16280,15882,16181,16388,16649,hamstr,Yes
EN18218 438,16339,16333,15950,16237,16436,16697,hamstr,Yes
EN18218 439,16391,16386,16034,16296,16481,16731,hamstr,Yes
EN18218 440,16442,16440,16116,16354,16528,16764,hamstr,Yes
EN18218 441,16494,16493,16183,16413,16575,16802,hamstr,Yes
EN18218 442,16547,16547,16248,16470,16623,16843,hamstr,Yes
EN18218 443,16601,16601,16309,16526,16675,16890,hamstr,Yes
EN18218 444,16654,16654,16357,16579,16732,16950,hamstr,Yes
EN18218 445,16712,16710,16409,16635,16789,17007,hamstr,Yes
EN18218 446,16769,16766,16455,16687,16848,17072,hamstr,Yes
EN18218 447,16825,16822,16494,16735,16910,17143,hamstr,Yes
EN18218 448,16878,16878,16530,16782,16973,17231,hamstr,Yes
EN18218 449,16929,16934,16563,16826,17034,17324,hamstr,Yes
EN18218 450,16980,16990,16594,16870,17097,17422,hamstr,Yes
EN18218 451,17035,17047,16636,16918,17158,17500,hamstr,Yes
EN18218 452,17095,17103,16683,16979,17218,17553,hamstr,Yes
EN18218 453,17153,17159,16727,17036,17277,17612,hamstr,Yes
EN18218 454,17212,17216,16772,17090,17338,17671,hamstr,Yes
EN18218 455,17271,17272,16810,17142,17402,17740,hamstr,Yes
EN18218 456,17330,17328,16844,17190,17465,17814,hamstr,Yes
EN18218 457,17383,17385,16876,17237,17531,17892,hamstr,Yes
EN18218 458,17443,17444,16953,17304,17583,17936,hamstr,Yes
EN18218 459,17503,17504,17033,17369,17636,17977,hamstr,Yes
EN18218 460,17564,17564,17104,17435,17693,18017,hamstr,Yes
EN18218 461,17628,17624,17163,17498,17755,18068,hamstr,Yes
EN18218 462,17691,17684,17220,17559,17819,18117,hamstr,Yes
EN18218 463,17752,17744,17273,17619,17881,18172,hamstr,Yes
EN18218 464,17812,17804,17338,17680,17938,18228,hamstr,Yes
EN18218 465,17872,17864,17431,17747,17987,18263,hamstr,Yes
EN18218 466,17931,17924,17517,17817,18040,18300,hamstr,Yes
EN18218 467,17989,17984,17598,17886,18094,18343,hamstr,Yes
EN18218 468,18052,18044,17667,17954,18150,18388,hamstr,Yes
EN18218 469,18115,18104,17736,18016,18207,18441,hamstr,Yes
EN18218 470,18177,18165,17790,18078,18267,18498,hamstr,Yes
EN18218 471,18235,18229,17896,18146,18319,18540,hamstr,Yes
EN18218 472,18295,18294,18007,18217,18370,18580,hamstr,Yes
EN18218 473,18356,18358,18106,18288,18424,18625,hamstr,Yes
EN18218 474,18419,18423,18184,18358,18482,18678,hamstr,Yes
EN18218 475,18484,18488,18248,18423,18548,18742,hamstr,Yes
EN18218 476,18548,18553,18300,18484,18617,18819,hamstr,Yes
EN18218 477,18614,18619,18355,18544,18687,18901,hamstr,Yes
EN18218 478,18684,18688,18419,18613,18759,18971,hamstr,Yes
EN18218 479,18753,18758,18475,18676,18834,19058,hamstr,Yes
EN18218 480,18822,18827,18520,18737,18910,19152,hamstr,Yes
EN18218 481,18888,18896,18562,18793,18988,19261,hamstr,Yes
EN18218 482,18953,18965,18596,18847,19065,19375,hamstr,Yes
EN18218 483,19020,19034,18628,18900,19145,19496,hamstr,Yes
EN18218 484,19091,19103,18698,18969,19214,19564,hamstr,Yes
EN18218 485,19163,19173,18768,19041,19287,19626,hamstr,Yes
EN18218 486,19238,19242,18820,19113,19361,19692,hamstr,Yes
EN18218 487,19312,19312,18870,19181,19439,19767,hamstr,Yes
EN18218 488,19385,19381,18916,19249,19516,19847,hamstr,Yes
EN18218 489,19456,19451,18956,19311,19597,19939,hamstr,Yes
EN18218 490,19524,19520,19004,19375,19671,20022,hamstr,Yes
EN18218 491,19599,19590,19085,19454,19737,20071,hamstr,Yes
EN18218 492,19671,19660,19154,19531,19806,20121,hamstr,Yes
EN18218 493,19745,19729,19213,19608,19877,20173,hamstr,Yes
EN18218 494,19819,19799,19267,19682,19951,20239,hamstr,Yes
EN18218 495,19894,19868,19316,19751,20028,20310,hamstr,Yes
EN18218 496,19968,19938,19367,19817,20105,20394,hamstr,Yes
EN18218 497,20038,20008,19449,19896,20170,20441,hamstr,Yes
EN18218 498,20112,20077,19531,19983,20230,20476,hamstr,Yes
EN18218 499,20187,20147,19603,20067,20292,20515,hamstr,Yes
EN18218 500,20264,20216,19663,20153,20357,20561,hamstr,Yes
EN18218 501,20343,20286,19720,20238,20425,20610,hamstr,Yes
EN18218 502,20418,20355,19770,20317,20498,20672,hamstr,Yes
EN18218 503,20488,20420,19816,20384,20566,20738,hamstr,Yes
EN18218 504,20532,20465,19851,20425,20616,20791,hamstr,Yes
EN18218 505,20573,20509,19887,20462,20665,20857,hamstr,Yes
EN18218 506,20613,20554,19922,20497,20711,20929,hamstr,Yes
EN18218 507,20650,20598,19953,20529,20756,21011,hamstr,Yes
EN18218 508,20688,20643,19985,20560,20801,21099,hamstr,Yes
EN18218 509,20724,20687,20016,20590,20845,21192,hamstr,Yes
EN18218 510,20763,20730,20048,20623,20890,21261,hamstr,Yes
EN18218 511,20799,20772,20077,20657,20934,21325,hamstr,Yes
EN18218 512,20835,20814,20110,20687,20978,21401,hamstr,Yes
EN18218 513,20870,20856,20141,20719,21023,21480,hamstr,Yes
EN18218 514,20905,20898,20175,20747,21067,21561,hamstr,Yes
EN18218 515,20940,20940,20208,20776,21111,21644,hamstr,Yes
EN18218 516,20977,20982,20239,20804,21155,21727,hamstr,Yes
EN18218 517,21016,21023,20269,20837,21201,21797,hamstr,Yes
EN18218 518,21054,21065,20302,20868,21244,21861,hamstr,Yes
EN18218 519,21092,21106,20332,20898,21288,21934,hamstr,Yes
EN18218 520,21128,21148,20362,20928,21332,22009,hamstr,Yes
EN18218 521,21166,21189,20396,20955,21380,22090,hamstr,Yes
EN18218 522,21200,21231,20425,20985,21426,22165,hamstr,Yes
EN18218 523,21244,21277,20466,21022,21472,22233,hamstr,Yes
EN18218 524,21290,21326,20514,21062,21524,22301,hamstr,Yes
EN18218 525,21333,21375,20557,21102,21578,22366,hamstr,Yes
EN18218 526,21378,21424,20604,21139,21634,22447,hamstr,Yes
EN18218 527,21420,21473,20647,21179,21685,22519,hamstr,Yes
EN18218 528,21464,21522,20690,21215,21737,22594,hamstr,Yes
EN18218 529,21507,21572,20733,21252,21786,22669,hamstr,Yes
EN18218 530,21555,21622,20787,21294,21842,22724,hamstr,Yes
EN18218 531,21601,21672,20835,21333,21898,22789,hamstr,Yes
EN18218 532,21646,21722,20881,21374,21954,22855,hamstr,Yes
EN18218 533,21695,21772,20928,21415,22007,22931,hamstr,Yes
EN18218 534,21738,21822,20966,21454,22064,23000,hamstr,Yes
EN18218 535,21785,21872,21004,21493,22120,23075,hamstr,Yes
EN18218 536,21859,21951,21090,21566,22197,23165,hamstr,Yes
EN18218 537,21963,22055,21195,21670,22308,23256,hamstr,Yes
EN18218 538,22070,22158,21280,21772,22422,23360,hamstr,Yes
EN18218 539,22179,22262,21353,21876,22538,23470,hamstr,Yes
EN18218 540,22288,22366,21416,21972,22655,23588,hamstr,Yes
EN18218 541,22395,22470,21475,22068,22770,23730,hamstr,Yes
EN18218 542,22508,22574,21527,22163,22892,23867,hamstr,Yes
EN18218 543,22647,22702,21649,22299,23023,23966,hamstr,Yes
EN18218 544,22786,22830,21744,22439,23163,24070,hamstr,Yes
EN18218 545,22926,22958,21837,22566,23307,24175,hamstr,Yes
EN18218 546,23074,23086,21918,22695,23452,24305,hamstr,Yes
EN18218 547,23221,23214,21996,22817,23600,24440,hamstr,Yes
EN18218 548,23361,23342,22065,22930,23754,24606,hamstr,Yes
EN18218 549,23499,23471,22152,23061,23893,24735,hamstr,Yes
EN18218 550,23646,23600,22255,23211,24028,24827,hamstr,Yes
EN18218 551,23805,23729,22343,23354,24175,24925,hamstr,Yes
EN18218 552,23962,23858,22420,23500,24323,25037,hamstr,Yes
EN18218 553,24117,23987,22494,23636,24469,25153,hamstr,Yes
EN18218 554,24266,24116,22558,23762,24620,25284,hamstr,Yes
EN18218 555,24405,24245,22622,23881,24779,25443,hamstr,Yes
EN18218 556,24566,24372,22727,24058,24905,25520,hamstr,Yes
EN18218 557,24732,24500,22826,24248,25038,25592,hamstr,Yes
EN18218 558,24890,24627,22904,24427,25172,25675,hamstr,Yes
EN18218 559,25054,24754,22987,24601,25315,25767,hamstr,Yes
EN18218 560,25224,24881,23060,24759,25457,25868,hamstr,Yes
EN18218 561,25378,25009,23133,24900,25604,25987,hamstr,Yes
EN18218 562,25514,25121,23207,25042,25732,26092,hamstr,Yes
EN18218 563,25633,25214,23285,25176,25828,26150,hamstr,Yes
EN18218 564,25754,25307,23358,25299,25926,26215,hamstr,Yes
EN18218 565,25863,25400,23437,25417,26030,26290,hamstr,Yes
EN18218 566,25969,25493,23507,25520,26132,26390,hamstr,Yes
EN18218 567,26063,25586,23572,25609,26232,26522,hamstr,Yes
EN18218 568,26147,25679,23631,25688,26328,26674,hamstr,Yes
EN18218 569,26215,25745,23703,25746,26396,26756,hamstr,Yes
EN18218 570,26277,25808,23768,25798,26462,26841,hamstr,Yes
EN18218 571,26331,25871,23828,25849,26526,26929,hamstr,Yes
EN18218 572,26386,25934,23886,25899,26587,27027,hamstr,Yes
EN18218 573,26433,25996,23940,25949,26654,27128,hamstr,Yes
EN18218 574,26483,26059,23991,25994,26717,27231,hamstr,Yes
EN18218 575,26537,26122,24047,26043,26781,27326,hamstr,Yes
EN18218 576,26600,26183,24107,26096,26844,27396,hamstr,Yes
EN18218 577,26660,26244,24166,26145,26908,27473,hamstr,Yes
EN18218 578,26714,26305,24226,26197,26975,27548,hamstr,Yes
EN18218 579,26771,26367,24292,26245,27040,27636,hamstr,Yes
EN18218 580,26823,26428,24341,26287,27104,27740,hamstr,Yes
EN18218 581,26875,26489,24391,26334,27171,27840,hamstr,Yes
EN18218 582,26939,26551,24453,26390,27236,27900,hamstr,Yes
EN18218 583,27003,26613,24508,26448,27303,27969,hamstr,Yes
EN18218 584,27065,26675,24562,26513,27377,28050,hamstr,Yes
EN18218 585,27123,26737,24620,26557,27439,28130,hamstr,Yes
EN18218 586,27179,26799,24680,26610,27504,28210,hamstr,Yes
EN18218 587,27232,26861,24736,26658,27568,28303,hamstr,Yes
EN18218 588,27276,26915,24791,26699,27621,28372,hamstr,Yes
EN18218 589,27305,26950,24869,26732,27645,28386,hamstr,Yes
EN18218 590,27331,26984,24944,26762,27673,28401,hamstr,Yes
EN18218 591,27360,27019,25018,26792,27698,28419,hamstr,Yes
EN18218 592,27388,27054,25095,26822,27723,28438,hamstr,Yes
EN18218 593,27420,27088,25168,26848,27751,28458,hamstr,Yes
EN18218 594,27450,27123,25239,26878,27778,28475,hamstr,Yes
EN18218 595,27479,27161,25327,26913,27804,28494,hamstr,Yes
EN18218 596,27508,27200,25412,26954,27832,28514,hamstr,Yes
EN18218 597,27536,27240,25490,26993,27861,28529,hamstr,Yes
EN18218 598,27570,27279,25555,27032,27889,28547,hamstr,Yes
EN18218 599,27601,27318,25618,27064,27917,28565,hamstr,Yes
EN18218 600,27630,27358,25679,27101,27947,28588,hamstr,Yes
EN18218 601,27662,27398,25737,27139,27973,28611,hamstr,Yes
EN18218 602,27696,27441,25822,27180,28002,28629,hamstr,Yes
EN18218 603,27728,27484,25894,27224,28029,28649,hamstr,Yes
EN18218 604,27761,27527,25965,27270,28057,28669,hamstr,Yes
EN18218 605,27794,27570,26028,27316,28086,28694,hamstr,Yes
EN18218 606,27824,27614,26092,27361,28117,28715,hamstr,Yes
EN18218 607,27857,27657,26151,27417,28147,28743,hamstr,Yes
EN18218 608,27887,27700,26228,27465,28174,28765,hamstr,Yes
EN18218 609,27921,27742,26311,27508,28202,28780,hamstr,Yes
EN18218 610,27954,27785,26382,27555,28231,28804,hamstr,Yes
EN18218 611,27988,27828,26457,27601,28260,28828,hamstr,Yes
EN18218 612,28018,27871,26517,27647,28289,28854,hamstr,Yes
EN18218 613,28051,27914,26581,27691,28320,28874,hamstr,Yes
EN18218 614,28085,27956,26649,27738,28350,28898,hamstr,Yes
EN18218 615,28122,27999,26726,27782,28380,28923,hamstr,Yes
EN18218 616,28153,28041,26809,27825,28411,28949,hamstr,Yes
EN18218 617,28190,28084,26884,27869,28441,28973,hamstr,Yes
EN18218 618,28223,28126,26952,27912,28472,29002,hamstr,Yes
EN18218 619,28259,28169,27020,27957,28502,29031,hamstr,Yes
EN18218 620,28295,28211,27089,28002,28535,29064,hamstr,Yes
EN18218 621,28327,28251,27157,28041,28566,29093,hamstr,Yes
EN18218 622,28356,28288,27219,28079,28596,29123,hamstr,Yes
EN18218 623,28386,28326,27283,28118,28624,29152,hamstr,Yes
EN18218 624,28419,28363,27346,28155,28654,29179,hamstr,Yes
EN18218 625,28449,28401,27410,28193,28683,29211,hamstr,Yes
EN18218 626,28478,28438,27458,28227,28713,29248,hamstr,Yes
EN18218 627,28513,28475,27512,28265,28742,29286,hamstr,Yes
EN18218 628,28539,28507,27566,28297,28767,29316,hamstr,Yes
EN18218 629,28566,28538,27619,28329,28791,29347,hamstr,Yes
EN18218 630,28592,28570,27667,28359,28817,29383,hamstr,Yes
EN18218 631,28620,28602,27716,28387,28844,29414,hamstr,Yes
EN18218 632,28648,28634,27764,28417,28871,29450,hamstr,Yes
EN18218 633,28677,28666,27807,28449,28897,29481,hamstr,Yes
EN18218 634,28704,28697,27850,28479,28922,29514,hamstr,Yes
EN18218 635,28731,28729,27903,28510,28946,29549,hamstr,Yes
EN18218 636,28760,28761,27944,28538,28974,29584,hamstr,Yes
EN18218 637,28786,28792,27984,28568,29005,29618,hamstr,Yes
EN18218 638,28815,28824,28023,28596,29035,29658,hamstr,Yes
EN18218 639,28842,28856,28054,28626,29062,29694,hamstr,Yes
EN18218 640,28873,28887,28090,28655,29091,29732,hamstr,Yes
EN18218 641,28901,28919,28135,28687,29118,29771,hamstr,Yes
EN18218 642,28928,28951,28180,28715,29146,29811,hamstr,Yes
EN18218 643,28955,28984,28227,28744,29176,29847,hamstr,Yes
EN18218 644,28984,29016,28257,28773,29207,29888,hamstr,Yes
EN18218 645,29012,29048,28289,28802,29238,29940,hamstr,Yes
EN18218 646,29041,29080,28319,28828,29271,29982,hamstr,Yes
EN18218 647,29075,29115,28350,28859,29306,30034,hamstr,Yes
EN18218 648,29109,29153,28384,28893,29346,30087,hamstr,Yes
EN18218 649,29143,29191,28412,28927,29387,30137,hamstr,Yes
EN18218 650,29177,29229,28437,28959,29424,30192,hamstr,Yes
EN18218 651,29213,29267,28458,28993,29466,30250,hamstr,Yes
EN18218 652,29247,29305,28484,29022,29507,30314,hamstr,Yes
EN18218 653,29282,29343,28509,29051,29545,30391,hamstr,Yes
