measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 93,4996,4988,4732,4952,5048,5216,Bchron,Yes
EN18218 94,5003,4995,4741,4958,5057,5222,Bchron,Yes
EN18218 95,5009,5002,4749,4963,5066,5229,Bchron,Yes
EN18218 96,5015,5010,4757,4969,5076,5235,Bchron,Yes
EN18218 97,5020,5017,4764,4975,5085,5242,Bchron,Yes
EN18218 98,5026,5024,4770,4981,5095,5248,Bchron,Yes
EN18218 99,5032,5031,4776,4987,5105,5255,Bchron,Yes
EN18218 100,5038,5039,4782,4992,5115,5261,Bchron,Yes
EN18218 101,5044,5046,4789,4997,5125,5268,Bchron,Yes
EN18218 102,5050,5053,4796,5003,5134,5273,Bchron,Yes
EN18218 103,5057,5061,4805,5009,5144,5279,Bchron,Yes
EN18218 104,5062,5068,4813,5015,5155,5285,Bchron,Yes
EN18218 105,5067,5076,4819,5021,5168,5291,Bchron,Yes
EN18218 106,5073,5084,4827,5027,5181,5297,Bchron,Yes
EN18218 107,5080,5092,4836,5032,5194,5302,Bchron,Yes
EN18218 108,5086,5100,4845,5039,5209,5308,Bchron,Yes
EN18218 109,5094,5109,4855,5045,5224,5315,Bchron,Yes
EN18218 110,5102,5118,4865,5051,5240,5322,Bchron,Yes
EN18218 111,5110,5127,4874,5058,5257,5329,Bchron,Yes
EN18218 112,5120,5137,4885,5065,5276,5337,Bchron,Yes
EN18218 113,5130,5148,4895,5073,5295,5347,Bchron,Yes
EN18218 114,5140,5162,4910,5081,5314,5357,Bchron,Yes
EN18218 115,5152,5178,4928,5092,5332,5371,Bchron,Yes
EN18218 116,5159,5187,4941,5100,5336,5377,Bchron,Yes
EN18218 117,5165,5194,4953,5107,5340,5382,Bchron,Yes
EN18218 118,5171,5200,4962,5113,5343,5386,Bchron,Yes
EN18218 119,5177,5206,4972,5120,5347,5390,Bchron,Yes
EN18218 120,5182,5211,4981,5126,5350,5394,Bchron,Yes
EN18218 121,5187,5216,4989,5133,5353,5397,Bchron,Yes
EN18218 122,5192,5222,4997,5140,5357,5400,Bchron,Yes
EN18218 123,5198,5227,5004,5146,5360,5403,Bchron,Yes
EN18218 124,5203,5232,5013,5153,5363,5406,Bchron,Yes
EN18218 125,5208,5237,5022,5160,5366,5409,Bchron,Yes
EN18218 126,5213,5242,5028,5165,5369,5411,Bchron,Yes
EN18218 127,5218,5247,5035,5172,5372,5413,Bchron,Yes
EN18218 128,5223,5252,5042,5178,5375,5416,Bchron,Yes
EN18218 129,5228,5257,5050,5184,5378,5419,Bchron,Yes
EN18218 130,5234,5262,5060,5190,5381,5422,Bchron,Yes
EN18218 131,5239,5267,5067,5196,5384,5424,Bchron,Yes
EN18218 132,5246,5272,5076,5202,5388,5428,Bchron,Yes
EN18218 133,5252,5277,5083,5208,5391,5431,Bchron,Yes
EN18218 134,5258,5283,5089,5214,5395,5435,Bchron,Yes
EN18218 135,5264,5288,5097,5221,5399,5438,Bchron,Yes
EN18218 136,5271,5294,5107,5228,5404,5441,Bchron,Yes
EN18218 137,5277,5301,5115,5236,5408,5446,Bchron,Yes
EN18218 138,5285,5308,5125,5245,5414,5451,Bchron,Yes
EN18218 139,5298,5321,5141,5259,5422,5460,Bchron,Yes
EN18218 140,5314,5335,5159,5273,5429,5473,Bchron,Yes
EN18218 141,5328,5346,5173,5285,5434,5486,Bchron,Yes
EN18218 142,5341,5357,5188,5297,5439,5497,Bchron,Yes
EN18218 143,5354,5366,5202,5307,5444,5507,Bchron,Yes
EN18218 144,5366,5375,5214,5318,5449,5516,Bchron,Yes
EN18218 145,5379,5384,5226,5328,5455,5524,Bchron,Yes
EN18218 146,5391,5393,5237,5338,5459,5531,Bchron,Yes
EN18218 147,5403,5401,5246,5348,5465,5538,Bchron,Yes
EN18218 148,5414,5409,5256,5359,5470,5547,Bchron,Yes
EN18218 149,5424,5417,5264,5369,5475,5554,Bchron,Yes
EN18218 150,5434,5425,5272,5380,5481,5561,Bchron,Yes
EN18218 151,5442,5434,5281,5391,5486,5568,Bchron,Yes
EN18218 152,5450,5442,5289,5402,5492,5575,Bchron,Yes
EN18218 153,5457,5450,5297,5413,5498,5583,Bchron,Yes
EN18218 154,5465,5458,5306,5423,5504,5591,Bchron,Yes
EN18218 155,5473,5466,5313,5434,5510,5599,Bchron,Yes
EN18218 156,5482,5475,5322,5445,5516,5607,Bchron,Yes
EN18218 157,5491,5484,5330,5455,5523,5615,Bchron,Yes
EN18218 158,5500,5492,5339,5464,5531,5624,Bchron,Yes
EN18218 159,5508,5502,5347,5474,5539,5635,Bchron,Yes
EN18218 160,5518,5512,5356,5483,5548,5646,Bchron,Yes
EN18218 161,5528,5522,5368,5495,5557,5658,Bchron,Yes
EN18218 162,5539,5534,5383,5508,5567,5673,Bchron,Yes
EN18218 163,5560,5556,5408,5527,5585,5702,Bchron,Yes
EN18218 164,5584,5586,5437,5551,5610,5740,Bchron,Yes
EN18218 165,5603,5610,5463,5572,5633,5782,Bchron,Yes
EN18218 166,5622,5631,5485,5590,5656,5814,Bchron,Yes
EN18218 167,5640,5652,5503,5607,5677,5842,Bchron,Yes
EN18218 168,5659,5671,5522,5625,5698,5867,Bchron,Yes
EN18218 169,5678,5689,5539,5642,5719,5885,Bchron,Yes
EN18218 170,5698,5707,5555,5660,5739,5901,Bchron,Yes
EN18218 171,5716,5725,5570,5678,5759,5916,Bchron,Yes
EN18218 172,5736,5742,5584,5695,5779,5931,Bchron,Yes
EN18218 173,5755,5759,5597,5713,5799,5946,Bchron,Yes
EN18218 174,5773,5776,5609,5730,5819,5962,Bchron,Yes
EN18218 175,5792,5793,5621,5747,5838,5976,Bchron,Yes
EN18218 176,5811,5810,5633,5764,5856,5989,Bchron,Yes
EN18218 177,5829,5826,5645,5782,5875,6002,Bchron,Yes
EN18218 178,5848,5843,5657,5800,5895,6016,Bchron,Yes
EN18218 179,5866,5860,5670,5818,5914,6031,Bchron,Yes
EN18218 180,5884,5878,5684,5835,5932,6048,Bchron,Yes
EN18218 181,5901,5896,5699,5852,5951,6063,Bchron,Yes
EN18218 182,5918,5914,5713,5870,5970,6082,Bchron,Yes
EN18218 183,5937,5932,5730,5888,5991,6099,Bchron,Yes
EN18218 184,5956,5952,5748,5906,6011,6116,Bchron,Yes
EN18218 185,5976,5973,5770,5925,6032,6134,Bchron,Yes
EN18218 186,6000,5996,5801,5945,6054,6154,Bchron,Yes
EN18218 187,6025,6022,5854,5968,6079,6176,Bchron,Yes
EN18218 188,6059,6059,5918,6000,6111,6227,Bchron,Yes
EN18218 189,6090,6091,5938,6028,6141,6278,Bchron,Yes
