"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,0.724857584635439
21998,0.512200927734398
21997,1.55715332031252
21996,0.618544514973981
21995,-0.476700846354144
21994,0.259779866536481
21993,0.738956705729189
21992,0.317041015625023
21991,-0.729864501953102
21990,0.591912841796898
21989,-0.358933512369769
21988,-1.72602945963539
21987,0.533441162109398
21986,0.547703043619814
21985,0.764479573567731
21984,0.869561767578148
21983,-0.602229817708311
21982,1.43213297526044
21981,1.15388387044273
21980,0.646427408854189
21979,0.921950276692731
21978,0.283664957682314
21977,-0.482814534505186
21976,0.404585774739606
21975,1.36098632812502
21974,0.121738688151064
21973,1.18735148111981
21972,1.14678344726565
21971,0.821069335937523
21970,1.01566975911461
21969,1.54304402669273
21968,0.639764404296898
21967,1.3676696777344
21966,0.0473673502604394
21965,-0.255519612630186
21964,0.732415771484398
21963,1.36836140950523
21962,1.15395507812502
21961,1.12327473958336
21960,1.73935343424481
21959,-0.605373128255186
21958,0.825952148437523
21957,0.669224039713564
21956,0.752781168619814
21955,1.05196533203127
21954,0.832869466145856
21953,-0.475571695963519
21952,0.296258544921898
21951,0.487919108072939
21950,1.5559020996094
21949,0.829268391927106
21948,0.683953857421898
21947,-0.107997639973936
21946,0.477960205078148
21945,0.859226481119814
21944,1.40960083007815
21943,0.941837565104189
21942,0.320947265625023
21941,0.869419352213564
21940,0.622410074869814
21939,0.953322347005231
21938,0.674757893880231
21937,-0.226456705729144
21936,1.15979410807294
21935,1.37090454101565
21934,1.05209757486981
21933,1.0319763183594
21932,0.688643391927106
21931,0.998976643880231
21930,1.36741536458336
21929,0.587945556640648
21928,0.516015625000023
21927,0.853499348958356
21926,1.33714192708336
21925,1.08233032226565
21924,0.0967346191406477
21923,0.0554138183593977
21922,-0.261216227213519
21921,0.593235270182314
21920,-1.02616984049477
21919,0.357486979166689
21918,0.723911539713564
21917,1.04827270507815
21916,0.914595540364606
21915,0.362054443359398
21914,1.2674499511719
21913,0.245945231119814
21912,0.462640380859398
21911,1.28910725911461
21910,1.04847615559898
21909,0.623254394531273
21908,0.865736897786481
21907,0.983921305338564
21906,0.690332031250023
21905,1.24177449544273
21904,0.580651855468773
21903,0.749943033854189
21902,-0.930008951822894
21901,0.0570109049479394
21900,-0.507421874999977
21899,0.542820231119814
21898,-0.242753092447894
21897,0.667118326822939
21896,1.65012003580731
21895,0.500858561197939
21894,0.928745524088564
21893,0.935662841796898
21892,-0.645086669921852
21891,-0.0163228352864356
21890,0.388309733072939
21889,-0.992905680338519
21888,-1.53149007161456
21887,-1.37124226888019
21886,0.336826578776064
21885,1.11683553059898
21884,-0.146134440104144
21883,0.898553466796898
21882,-0.0339009602864356
21881,0.688378906250023
21880,1.21869303385419
21879,-0.0219685872395606
21878,0.927148437500023
21877,0.561273193359398
21876,0.960443115234398
21875,0.0829508463541894
21874,0.624790445963564
21873,0.505975341796898
21872,1.75837605794273
21871,0.865482584635439
21870,1.63350830078127
21869,0.587640380859398
21868,0.0292093912760644
21867,0.331089274088564
21866,1.04215901692711
21865,-0.134731038411436
21864,-0.543046061197894
21863,1.00784708658856
21862,0.795241292317731
21861,0.733341471354189
21860,-0.0575215657551856
