measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 95,3850,3836,3474,3739,3949,4167,Bacon,Yes
EN18218 96,3879,3865,3507,3768,3976,4191,Bacon,Yes
EN18218 97,3905,3894,3537,3798,4003,4217,Bacon,Yes
EN18218 98,3934,3922,3573,3829,4028,4244,Bacon,Yes
EN18218 99,3961,3950,3605,3858,4056,4268,Bacon,Yes
EN18218 100,3990,3979,3638,3887,4085,4294,Bacon,Yes
EN18218 101,4017,4008,3674,3917,4113,4320,Bacon,Yes
EN18218 102,4046,4037,3702,3946,4139,4345,Bacon,Yes
EN18218 103,4075,4066,3737,3977,4166,4369,Bacon,Yes
EN18218 104,4104,4095,3770,4006,4193,4396,Bacon,Yes
EN18218 105,4132,4123,3802,4037,4221,4421,Bacon,Yes
EN18218 106,4160,4152,3836,4065,4247,4446,Bacon,Yes
EN18218 107,4188,4180,3867,4095,4275,4471,Bacon,Yes
EN18218 108,4215,4208,3903,4124,4302,4495,Bacon,Yes
EN18218 109,4244,4237,3934,4154,4331,4520,Bacon,Yes
EN18218 110,4273,4266,3966,4184,4359,4547,Bacon,Yes
EN18218 111,4301,4294,4001,4212,4385,4571,Bacon,Yes
EN18218 112,4329,4323,4035,4241,4413,4596,Bacon,Yes
EN18218 113,4357,4352,4068,4271,4440,4621,Bacon,Yes
EN18218 114,4386,4381,4102,4301,4467,4649,Bacon,Yes
EN18218 115,4415,4410,4134,4329,4494,4673,Bacon,Yes
EN18218 116,4443,4437,4170,4357,4519,4696,Bacon,Yes
EN18218 117,4469,4464,4203,4386,4544,4719,Bacon,Yes
EN18218 118,4495,4490,4235,4413,4570,4740,Bacon,Yes
EN18218 119,4521,4517,4265,4442,4594,4761,Bacon,Yes
EN18218 120,4546,4542,4294,4469,4618,4783,Bacon,Yes
EN18218 121,4572,4569,4326,4497,4642,4806,Bacon,Yes
